Position_z,Position_y,Position_x,Velocity_z,Velocity_y,Velocity_x,Velocity_length,skip
26,2,2,-0.26197,-1.266928,-3.354246,3.595094028,1
28,2,2,0.635726,-0.615817,-0.67356,1.112232529,2
0,4,2,-1.17083,-0.404629,-0.422657,1.308895128,3
2,4,2,-1.37686,-0.587357,-1.233197,1.939460375,0
4,4,2,-1.345749,-0.559758,-3.812787,4.081876296,1
6,4,2,0.244728,1.740401,-7.313084,7.521308731,2
8,4,2,1.628296,1.179232,-6.388933,6.697790744,3
10,4,2,2.445868,-0.632206,-5.237375,5.814813117,0
12,4,2,1.969828,-0.919083,-3.842697,4.414890275,1
14,4,2,0.983084,-0.762231,-2.613325,2.894290553,2
16,4,2,-1.021848,-0.743175,-2.495448,2.797095482,3
18,4,2,-1.984152,-0.934866,-4.58336,5.081143817,0
20,4,2,-2.435243,0.105919,-5.811593,6.302082235,1
22,4,2,-1.626597,1.813151,-7.015728,7.426558673,2
24,4,2,-0.252143,0.833489,-6.405278,6.464198811,3
26,4,2,1.341565,-0.837702,-2.125134,2.649100943,0
28,4,2,1.380777,-0.441303,-0.740576,1.627804126,1
0,6,2,-0.956265,-0.333447,-0.381545,1.082222823,2
2,6,2,-1.042036,0.141096,-0.905503,1.387689731,3
4,6,2,-1.227117,0.79064,-1.688614,2.232116704,0
6,6,2,-0.421159,1.127253,-2.372927,2.660612106,1
8,6,2,0.754524,0.667157,-2.155208,2.37893389,2
10,6,2,0.955781,0.404515,-1.68975,1.98302919,3
12,6,2,0.674462,0.285315,-1.344451,1.530964444,0
14,6,2,0.257083,0.041087,-1.195266,1.223290898,1
16,6,2,-0.268359,0.206912,-1.254305,1.299272936,2
18,6,2,-0.680762,0.337245,-1.504111,1.685087829,3
20,6,2,-0.960044,0.507506,-1.946353,2.228797169,0
22,6,2,-0.761012,0.892094,-2.352726,2.62874316,1
24,6,2,0.417549,1.053363,-2.143006,2.42412778,2
26,6,2,1.23374,0.45886,-1.292207,1.844577409,3
28,6,2,1.049003,-0.11137,-0.604972,1.216059905,0
0,8,2,-0.601446,-0.300132,-0.322704,0.745623484,1
2,8,2,-0.617601,0.138541,-0.626988,0.890920062,2
4,8,2,-0.569715,0.664295,-1.007083,1.334196086,3
6,8,2,-0.21138,1.04562,-1.261072,1.651758238,0
8,8,2,0.284426,0.783292,-1.266749,1.516277526,1
10,8,2,0.441786,0.383695,-1.129412,1.271993785,2
12,8,2,0.337522,0.092087,-0.986247,1.046462738,3
14,8,2,0.123294,-0.047938,-0.915649,0.925155421,0
16,8,2,-0.128086,0.005122,-0.942904,0.951577749,1
18,8,2,-0.342053,0.220262,-1.05977,1.135177544,2
20,8,2,-0.446809,0.588853,-1.218207,1.424926115,3
22,8,2,-0.289659,0.962509,-1.305313,1.647473198,0
24,8,2,0.210641,0.941766,-1.175767,1.521091999,1
26,8,2,0.574023,0.391994,-0.829416,1.08217032,2
28,8,2,0.622694,-0.078685,-0.453327,0.774238023,3
0,10,2,-0.343286,-0.287392,-0.262334,0.518901308,0
2,10,2,-0.342932,0.003671,-0.438502,0.55668648,1
4,10,2,-0.272564,0.249274,-0.647028,0.745032814,2
6,10,2,-0.097021,0.384887,-0.788823,0.883058776,3
8,10,2,0.106288,0.295707,-0.830117,0.887600137,0
10,10,2,0.199916,0.103698,-0.799463,0.830578576,1
12,10,2,0.169433,-0.059379,-0.750478,0.771654479,2
14,10,2,0.063735,-0.137055,-0.723222,0.738847944,3
16,10,2,-0.066677,-0.108373,-0.734532,0.745471521,0
18,10,2,-0.172542,0.017321,-0.778928,0.797997236,1
20,10,2,-0.203187,0.2091,-0.827276,0.877150698,2
22,10,2,-0.108925,0.372191,-0.829167,0.915373536,3
24,10,2,0.096693,0.352319,-0.736681,0.82229989,0
26,10,2,0.274647,0.138936,-0.550686,0.630863898,1
28,10,2,0.345814,-0.129907,-0.335931,0.499312315,2
0,12,2,-0.189395,-0.286566,-0.207585,0.401350309,3
2,12,2,-0.188682,-0.109796,-0.314936,0.383198046,0
4,12,2,-0.14314,0.007629,-0.441056,0.463764656,1
6,12,2,-0.055625,0.061135,-0.533016,0.539386397,2
8,12,2,0.037093,0.027042,-0.577855,0.579675393,3
10,12,2,0.087394,-0.058821,-0.585005,0.594414394,0
12,12,2,0.080266,-0.140401,-0.575538,0.597828622,1
14,12,2,0.031179,-0.18136,-0.568317,0.597367385,2
16,12,2,-0.032984,-0.165488,-0.572236,0.596597236,3
18,12,2,-0.082137,-0.099122,-0.584207,0.598221929,0
20,12,2,-0.089204,-0.007101,-0.589346,0.59610107,1
22,12,2,-0.038378,0.06163,-0.565889,0.570527377,2
24,12,2,0.05544,0.052851,-0.49638,0.502254842,3
26,12,2,0.144055,-0.038638,-0.381969,0.410054941,0
28,12,2,0.190036,-0.184649,-0.25059,0.364697522,1
0,14,2,-0.103731,-0.292621,-0.160292,0.34940048,2
2,14,2,-0.105317,-0.187123,-0.229354,0.314181389,3
4,14,2,-0.081445,-0.128052,-0.310759,0.345834872,0
6,14,2,-0.037534,-0.103071,-0.374465,0.390200549,1
8,14,2,0.007955,-0.116929,-0.41413,0.430394389,2
10,14,2,0.035159,-0.155664,-0.432557,0.46105639,3
12,14,2,0.035534,-0.194925,-0.438174,0.48088967,0
14,14,2,0.014258,-0.215183,-0.439404,0.489472052,1
16,14,2,-0.015265,-0.206377,-0.440259,0.486469396,2
18,14,2,-0.036543,-0.17253,-0.439213,0.473297001,3
20,14,2,-0.036086,-0.128667,-0.429296,0.44961367,0
22,14,2,-0.008587,-0.098437,-0.401103,0.413094658,1
24,14,2,0.037396,-0.103585,-0.348237,0.36523598,2
26,14,2,0.081767,-0.147958,-0.272206,0.320427088,3
28,14,2,0.105797,-0.227639,-0.186974,0.313004467,0
0,16,2,-0.057123,-0.302539,-0.119704,0.330336088,1
2,16,2,-0.060531,-0.239843,-0.165622,0.297689962,2
4,16,2,-0.04997,-0.209283,-0.219909,0.30766271,3
6,16,2,-0.028246,-0.196371,-0.264974,0.331014542,0
8,16,2,-0.00498,-0.201897,-0.297039,0.359192659,1
10,16,2,0.010458,-0.219486,-0.316498,0.385297882,2
12,16,2,0.013449,-0.237938,-0.32655,0.404265099,3
14,16,2,0.005737,-0.247328,-0.330701,0.412997826,0
16,16,2,-0.006211,-0.242125,-0.330615,0.409840665,1
18,16,2,-0.013924,-0.22472,-0.325505,0.395785878,2
20,16,2,-0.01089,-0.203404,-0.312174,0.372752445,3
22,16,2,0.004675,-0.18971,-0.286706,0.343819822,0
24,16,2,0.028131,-0.193381,-0.246935,0.314903888,1
26,16,2,0.050008,-0.216812,-0.194504,0.2955335,2
28,16,2,0.060583,-0.260818,-0.137124,0.30083105,3
0,18,2,-0.032501,-0.31468,-0.084197,0.327366694,0
2,18,2,-0.036904,-0.278124,-0.114885,0.303172274,1
4,18,2,-0.033649,-0.262839,-0.151236,0.305104774,2
6,18,2,-0.02334,-0.256365,-0.182807,0.315731164,3
8,18,2,-0.011067,-0.258757,-0.20718,0.331664312,0
10,18,2,-0.001635,-0.266921,-0.223891,0.348391552,1
12,18,2,0.002375,-0.275444,-0.233949,0.361396143,2
14,18,2,0.001416,-0.279391,-0.238637,0.367435646,3
16,18,2,-0.001583,-0.275886,-0.238503,0.364690652,0
18,18,2,-0.002549,-0.266378,-0.233101,0.353977136,1
20,18,2,0.001468,-0.255372,-0.220979,0.337711018,2
22,18,2,0.010934,-0.248673,-0.200593,0.319680098,3
24,18,2,0.02325,-0.250995,-0.171451,0.3048516,0
26,18,2,0.033575,-0.263619,-0.135037,0.298089331,1
28,18,2,0.036776,-0.287727,-0.095882,0.305503942,2
0,20,2,-0.02094,-0.327501,-0.052429,0.332331444,3
2,20,2,-0.025638,-0.307651,-0.072331,0.317077622,0
4,20,2,-0.025965,-0.301521,-0.096031,0.317507555,1
6,20,2,-0.021358,-0.299387,-0.117377,0.32228264,2
8,20,2,-0.014516,-0.301214,-0.134786,0.33031478,3
10,20,2,-0.008033,-0.305472,-0.147603,0.339358686,0
12,20,2,-0.003441,-0.309466,-0.15596,0.346561058,1
14,20,2,-0.000849,-0.310795,-0.160164,0.349638041,2
16,20,2,0.000867,-0.308057,-0.160268,0.347254516,3
18,20,2,0.003444,-0.302181,-0.155973,0.34007763,0
20,20,2,0.00802,-0.295656,-0.146615,0.330110207,1
22,20,2,0.014489,-0.291505,-0.131657,0.320185355,2
24,20,2,0.021309,-0.292136,-0.111201,0.313310036,3
26,20,2,0.025873,-0.298155,-0.08645,0.311511506,0
28,20,2,0.025466,-0.310319,-0.060154,0.317119698,1
0,22,2,-0.017733,-0.339997,-0.023129,0.341243857,2
2,22,2,-0.022162,-0.331263,-0.034968,0.333839917,3
4,22,2,-0.023842,-0.331163,-0.049318,0.335662984,0
6,22,2,-0.02177,-0.332435,-0.062673,0.338990954,1
8,22,2,-0.017362,-0.335019,-0.074023,0.343538315,2
10,22,2,-0.012066,-0.338131,-0.082794,0.348328879,3
12,22,2,-0.006874,-0.340396,-0.088843,0.351866121,0
14,22,2,-0.002151,-0.340666,-0.092108,0.352904851,1
16,22,2,0.002304,-0.338307,-0.092455,0.350720489,2
18,22,2,0.00701,-0.333962,-0.089661,0.345859585,3
20,22,2,0.012171,-0.329075,-0.083396,0.339696014,0
22,22,2,0.017427,-0.325299,-0.073502,0.333954613,1
24,22,2,0.021784,-0.323928,-0.060219,0.330197244,2
26,22,2,0.023786,-0.32524,-0.044426,0.3291208,3
28,22,2,0.022016,-0.329613,-0.027801,0.331515203,0
0,24,2,-0.020295,-0.351563,0.004844,0.352181621,1
2,24,2,-0.023953,-0.350434,-0.000685,0.351252336,2
4,24,2,-0.025652,-0.35458,-0.007804,0.355592328,3
6,24,2,-0.024307,-0.358719,-0.014692,0.35984164,0
8,24,2,-0.02061,-0.362741,-0.020773,0.36391939,1
10,24,2,-0.015406,-0.36617,-0.025655,0.36739079,2
12,24,2,-0.009397,-0.368237,-0.029196,0.369512108,3
14,24,2,-0.003066,-0.368375,-0.031272,0.369712698,0
16,24,2,0.003314,-0.366303,-0.031732,0.367689802,1
18,24,2,0.009626,-0.362489,-0.030407,0.363889435,2
20,24,2,0.015597,-0.357842,-0.027105,0.359205852,3
22,24,2,0.02075,-0.353343,-0.021761,0.354620049,0
24,24,2,0.024382,-0.349779,-0.014557,0.350929818,1
26,24,2,0.025649,-0.347335,-0.00605,0.348333283,2
28,24,2,0.023862,-0.34617,0.002808,0.347002808,3
0,26,2,-0.026886,-0.361808,0.031968,0.364211256,0
2,26,2,-0.029418,-0.365898,0.031511,0.368428702,1
4,26,2,-0.030398,-0.373181,0.030117,0.375626318,2
6,26,2,-0.028742,-0.379844,0.028535,0.381997138,3
8,26,2,-0.024733,-0.385661,0.026984,0.387394198,0
10,26,2,-0.018891,-0.390224,0.025621,0.391520211,1
12,26,2,-0.011765,-0.392987,0.024501,0.39392575,2
14,26,2,-0.003902,-0.393583,0.023692,0.39431474,3
16,26,2,0.004182,-0.391848,0.023284,0.392561446,0
18,26,2,0.012028,-0.388115,0.023382,0.389004684,1
20,26,2,0.019118,-0.383016,0.024103,0.38424954,2
22,26,2,0.024913,-0.377235,0.025502,0.378915894,3
24,26,2,0.028862,-0.371366,0.027526,0.373501542,0
26,26,2,0.030448,-0.365651,0.029942,0.368136195,1
28,26,2,0.029391,-0.360246,0.032336,0.362886523,2
0,28,2,-0.03274,-0.370516,0.048168,0.375065554,3
2,28,2,-0.033942,-0.378035,0.050079,0.382845173,0
4,28,2,-0.033725,-0.387796,0.051408,0.392639651,1
6,28,2,-0.031221,-0.396785,0.052395,0.401445293,2
8,28,2,-0.02662,-0.404607,0.053097,0.408943444,3
10,28,2,-0.020288,-0.410785,0.053565,0.414759121,0
12,28,2,-0.01266,-0.414779,0.053834,0.418449512,1
14,28,2,-0.004234,-0.416207,0.053931,0.41970793,2
16,28,2,0.004451,-0.414881,0.053881,0.418388836,3
18,28,2,0.012867,-0.411015,0.053693,0.414706918,0
