SchoolDist,HealthArea,Address,BldgClass,BldgArea,NumFloors,YearBuilt,XCoord,YCoord,ForAlign
2,7700,182 DUANE STREET,S9,14000,5,1915,981445,200528,0
2,7700,180 DUANE STREET,D0,13500,5,1915,981466,200516,0
2,7700,178 DUANE STREET,C2,13500,5,1910,981488,200503,0
2,7700,174 DUANE STREET,S3,12268,5,1910,981533,200483,0
2,7700,172 DUANE STREET,O2,7830,2,1910,981551,200464,0
2,7700,158 READE STREET,A4,945,3,1910,981337,200458,0
2,7700,168 DUANE STREET,RM,19196,5,1880,981598,200436,0
2,7700,184 DUANE STREET,RM,10705,5,1915,981434,200562,0
2,7700,170 DUANE STREET,RM,13038,4,1986,981573,200451,0
2,7700,166 DUANE STREET,RM,95010,12,1910,981640,200404,0
2,7700,176 DUANE STREET,RM,13577,7,1910,981509,200490,0
2,7700,321 GREENWICH STREET,RM,13382,5,1915,981361,200538,0
2,7700,138 READE STREET,RM,16734,8,2005,981547,200359,0
2,7700,292 GREENWICH STREET,W1,66820,3,1988,981023,200219,0
2,7700,25 HARRISON STREET,A9,1850,2.75,1899,981299,201097,0
2,7700,27 HARRISON STREET,A9,2643,2.75,1940,981276,201101,0
2,7700,27A HARRISON STREET,A9,5000,2.75,1899,981251,201105,0
2,7700,29 HARRISON STREET,A9,2660,2,1960,981229,201113,0
2,7700,31 HARRISON STREET,A9,2079,2,1960,981209,201115,0
2,7700,33 HARRISON STREET,A9,1485,2,1960,981181,201119,0
2,7700,37 HARRISON STREET,A9,2660,2,1960,981197,201079,0
2,7700,39 HARRISON STREET,A9,3080,2,1899,981193,201058,0
2,7700,41 HARRISON STREET,B9,3080,2,1960,981189,201038,0
2,7700,310 GREENWICH STREET,D6,1970736,39,1975,981237,201417,0
2,7700,47 HUDSON STREET,D4,77630,10,1930,981656,200678,0
2,7700,55 HUDSON STREET,D4,103750,10,1900,981669,200770,0
2,7700,171 DUANE STREET,D4,11250,5,1920,981567,200700,0
2,7700,173 DUANE STREET,D4,24500,6,1925,981529,200706,0
2,7700,181 DUANE STREET,S3,5950,5,1920,981441,200701,0
2,7700,183 DUANE STREET,D2,4426,5,1920,981422,200704,0
2,7700,185 DUANE STREET,S5,5155,6,1920,981400,200708,0
2,7700,325 GREENWICH STREET,D2,11726,5,1920,981368,200713,0
2,7700,329 GREENWICH STREET,D2,11309,5,1920,981405,200747,0
2,7700,331 GREENWICH STREET,S3,6368,4,1920,981410,200773,0
2,7700,333 GREENWICH STREET,A7,6800,6,2000,981398,200800,0
2,7700,335 GREENWICH STREET,D4,55800,13,1931,981421,200836,0
2,7700,14 JAY STREET,D4,17168,8,1920,981531,200798,0
2,7700,8 JAY STREET,RM,24584,6,1915,981569,200792,0
2,7700,177 DUANE STREET,RM,20243,6,1920,981478,200715,0
2,7700,16 JAY STREET,RM,25415,6,1920,981487,200803,0
2,7700,16 HUDSON STREET,D4,78306,6,1915,981792,200305,0
2,7700,155 DUANE STREET,S4,3205,5,1910,981879,200430,0
2,7700,157 DUANE STREET,C6,8805,5,1920,981870,200463,0
2,7700,40 HUDSON STREET,D0,9947,6,1910,981807,200544,0
2,7700,44 HUDSON STREET,O8,12900,5,1910,981825,200593,0
2,7700,84 THOMAS STREET,D4,37960,5,1910,981887,200557,0
2,7700,142 WEST BROADWAY,D5,20372,5,1915,981941,200554,0
2,7700,138 WEST BROADWAY,S3,4214,4,1915,981942,200509,0
2,7700,136 WEST BROADWAY,S3,4521,4,1915,981930,200488,0
2,7700,134 WEST BROADWAY,S3,4521,4,1915,981917,200467,0
2,7700,132 WEST BROADWAY,O2,2500,2,1920,981905,200445,0
2,7700,130 WEST BROADWAY,K2,1268,2,1920,981902,200416,0
2,7700,56 HUDSON STREET,O4,802000,23,1930,981938,200738,0
2,7700,42 HUDSON STREET,RM,14900,6,1915,981816,200569,0
2,7700,36 HUDSON STREET,RM,34787,8,1910,981806,200499,0
2,7700,159 DUANE STREET,RM,10795,6,1910,981848,200476,0
2,7700,50 HUDSON STREET,RM,16184,4,1925,981827,200629,0
2,7700,113 READE STREET,K2,3750,2,1915,981815,200055,0
2,7700,111 READE STREET,S4,8800,5,1920,981838,200042,0
2,7700,105 READE STREET,L8,16822,5,1920,981893,200009,0
2,7700,109 READE STREET,RM,8218,5,1920,981860,200028,0
2,7700,92 READE STREET,D2,7425,5,1930,982096,200034,0
2,7700,94 READE STREET,D2,7006,5,1930,982075,200046,0
2,7700,110 READE STREET,C5,8500,6,1900,981903,200148,0
2,7700,112 READE STREET,K4,8080,5,1920,981880,200162,0
2,7700,146 DUANE STREET,C7,21000,5,1920,982002,200198,0
2,7700,144 DUANE STREET,S3,26500,5.5,1920,982038,200177,0
2,7700,142 DUANE STREET,D0,29000,7,1920,982073,200156,0
2,7700,134 DUANE STREET,D0,38700,5,1920,982122,200127,0
2,7700,130 DUANE STREET,HB,17452,5,2003,982188,200089,0
2,7700,176 CHURCH STREET,K4,9000,2,1940,982129,200014,0
2,7700,100 READE STREET,RM,37902,7,1895,982022,200078,0
2,7700,150 DUANE STREET,RM,26327,5,1915,981936,200237,0
2,7700,104 READE STREET,RM,27716,5.5,1920,981946,200123,0
2,7700,132 DUANE STREET,RM,14240,6,1930,982166,200101,0
2,7700,148 DUANE STREET,RM,18436,6,1930,981970,200217,0
2,7700,131 DUANE STREET,D6,25000,5,1915,982183,200272,0
2,7700,145 DUANE STREET,S4,9373,5,1930,982054,200349,0
2,7700,147 DUANE STREET,S4,6200,5,1915,982026,200352,0
2,7700,149 DUANE STREET,D7,6200,5,1915,982003,200366,0
2,7700,135 WEST BROADWAY,K4,2055,3,1920,982033,200390,0
2,7700,137 WEST BROADWAY,S4,8717,5,1915,982046,200412,0
2,7700,141 WEST BROADWAY,O2,2422,3,1940,982058,200433,0
2,7700,70 THOMAS STREET,C6,11500,5,1915,982101,200428,0
2,7700,145 WEST BROADWAY,RM,15020,6,1915,982079,200467,0
2,7700,143 DUANE STREET,RM,8264,5,1915,982074,200337,0
2,7700,56 THOMAS STREET,R1,11133,6,1920,982251,200339,0
2,7700,68 THOMAS STREET,RM,11704,5,1880,982122,200415,0
2,7700,129 DUANE STREET,RM,19830,5,1915,982253,200292,0
2,7700,58 THOMAS STREET,R1,11223,7,2002,982230,200352,0
2,7700,60 THOMAS STREET,R1,11083,6,1920,982209,200364,0
2,7700,52 THOMAS STREET,RM,47441,7,1915,982286,200273,0
2,7700,137 DUANE STREET,RM,74927,5,1915,982145,200356,0
2,7700,63 THOMAS STREET,O6,110750,7,1920,982182,200540,0
2,7700,40 WORTH STREET,O6,702815,18,1929,982312,200527,0
2,7700,122 DUANE STREET,D5,29165,5,1920,982296,200024,0
2,7700,101 DUANE STREET,D6,434418,53,1988,982584,200041,0
2,7700,117 DUANE STREET,O6,314784,15,1954,982424,200188,0
2,7700,22 THOMAS STREET,O2,15840,2,1941,982545,200162,0
2,7700,18 THOMAS STREET,O7,7100,2,1949,982589,200141,0
2,7700,317 BROADWAY,K2,7692,2,1982,982775,200066,0
2,7700,315 BROADWAY,O5,20746,5,1910,982757,200039,0
2,7700,311 BROADWAY,D7,19930,5,1930,982736,200006,0
2,7700,8 THOMAS STREET,RM,13124,5,1915,982703,200077,0
2,7700,325 BROADWAY,O5,50000,5,1915,982872,200218,0
2,7700,319 BROADWAY,D7,13156,5,1910,982809,200119,0
2,7700,321 BROADWAY,RC,31720,6,1915,982830,200152,0
2,7700,75 CENTRE STREET,O3,353000,10,1934,983598,200014,0
2,7700,93 CENTRE STREET,Q2,17600,1,1915,983745,200254,0
2,7700,111 CENTRE STREET,Z3,640000,12,1958,983853,200432,0
2,7700,336 BROADWAY,D6,139697,15,1999,983120,200269,0
2,7700,346 BROADWAY,O3,418991,13,1920,983311,200269,0
2,7700,111 WORTH STREET,D6,419639,19,2001,983282,200155,0
2,7700,358 BROADWAY,L8,48180,5,1900,983405,200511,0
2,7700,360 BROADWAY,D7,31500,5,1900,983323,200567,0
2,7700,109 LEONARD STREET,Z1,400975,12,1972,983491,200373,0
2,7700,356 BROADWAY,RM,38352,5,1915,983309,200491,0
2,7700,354 BROADWAY,RM,43369,11,1900,983294,200467,0
2,7700,101 LEONARD STREET,RX,105353,12,1920,983269,200430,0
2,7700,364 BROADWAY,D0,93378,12,1920,983393,200640,0
2,7700,368 BROADWAY,O5,18800,5,1920,983414,200673,0
2,7700,370 BROADWAY,O5,18105,5,1915,983428,200695,0
2,7700,83 WHITE STREET,F5,25000,5,1915,983630,200639,0
2,7700,76 LAFAYETTE STREET,H8,317464,17,1920,983669,200563,0
2,7700,40 FRANKLIN STREET,O6,14840,7,1920,983666,200481,0
2,7700,54 FRANKLIN STREET,D5,29575,6,1920,983510,200593,0
2,7700,376 BROADWAY,RM,117020,24,1990,983470,200759,0
2,7700,81 WHITE STREET,R4,23233,6,1915,983588,200666,0
2,7700,77 WHITE STREET,R1,12586,6,1915,983555,200687,0
2,7700,50 FRANKLIN STREET,R4,75111,18,2007,983563,200559,0
2,7700,372 BROADWAY,RB,25166,5,1915,983442,200717,0
2,7700,83 WORTH STREET,O5,20700,5,1920,982808,200443,0
2,7700,74 LEONARD STREET,D7,24423,5,1920,982751,200597,0
2,7700,343 BROADWAY,D6,396000,21,2005,982955,200467,0
2,7700,339 BROADWAY,K1,4630,1,1968,982944,200383,0
2,7700,66 LEONARD STREET,RM,136112,14,1900,982684,200626,0
2,7700,65 WORTH STREET,RM,99735,7,1920,982673,200519,0
2,7700,79 WORTH STREET,RM,78126,6,1880,982794,200549,0
2,7700,93 WORTH STREET,RM,132235,17,1924,982907,200356,0
2,7700,83 LEONARD STREET,S9,11502,5,1910,982927,200677,0
2,7700,79 LEONARD STREET,S9,34932,5,1910,982889,200686,0
2,7700,75 LEONARD STREET,C7,23072,6,1920,982845,200713,0
2,7700,73 LEONARD STREET,S4,11945,5,1910,982812,200733,0
2,7700,71 LEONARD STREET,C7,12927,5,1910,982792,200745,0
2,7700,69 LEONARD STREET,D5,14425,5,1910,982776,200764,0
2,7700,253 CHURCH STREET,L8,16536,6,1915,982774,200813,0
2,7700,97 FRANKLIN STREET,L9,9360,5,1915,982793,200880,0
2,7700,91 FRANKLIN STREET,L9,10298,5,1920,982851,200830,0
2,7700,89 FRANKLIN STREET,L9,11200,5,1915,982871,200818,0
2,7700,87 FRANKLIN STREET,L9,11200,5,1915,982891,200806,0
2,7700,85 FRANKLIN STREET,K4,4300,2,1915,982911,200794,0
2,7700,81 FRANKLIN STREET,D7,25738,6,1915,982942,200775,0
2,7700,79 FRANKLIN STREET,S9,3231,3,1915,982977,200768,0
2,7700,77 FRANKLIN STREET,S3,5292,4,1915,982995,200758,0
2,7700,75 FRANKLIN STREET,L9,4400,3,1915,983012,200747,0
2,7700,71 FRANKLIN STREET,D9,18095,5,1921,983042,200729,0
2,7700,67 FRANKLIN STREET,D7,52282,7,1915,983143,200682,0
2,7700,359 BROADWAY,L9,21500,5,1915,983121,200646,0
2,7700,355 BROADWAY,K4,15000,2,1915,983096,200626,0
2,7700,353 BROADWAY,K4,15000,2,1915,983078,200599,0
2,7700,351 BROADWAY,K4,14445,4,1915,983062,200573,0
2,7700,349 BROADWAY,O6,42000,9,1915,983056,200547,0
2,7700,6567 LEONARD STREET,RM,8348,5,1915,982727,200754,0
2,7700,95 FRANKLIN STREET,RM,20094,7,1915,982824,200853,0
2,7700,85 LEONARD STREET,RM,21246,5,1910,982948,200665,0
2,7700,87 LEONARD STREET,R1,30003,6,0,982977,200645,0
2,7700,70 FRANKLIN STREET,D6,20500,5,1915,983108,200844,0
2,7700,74 FRANKLIN STREET,S4,9796,5,1915,983078,200862,0
2,7700,76 FRANKLIN STREET,C6,11100,5,1915,983055,200876,0
2,7700,78 FRANKLIN STREET,S9,15563,6,1915,983034,200889,0
2,7700,80 FRANKLIN STREET,S9,11020,5,1915,983013,200902,0
2,7700,82 FRANKLIN STREET,S5,15300,6,1915,982992,200914,0
2,7700,84 FRANKLIN STREET,L9,6132,4,1915,982971,200927,0
2,7700,273 CHURCH STREET,K4,7799,4,1910,982902,201014,0
2,7700,275 CHURCH STREET,S9,7111,4,1910,982915,201036,0
2,7700,277 CHURCH STREET,S3,6375,4,1910,982928,201058,0
2,7700,279 CHURCH STREET,L9,8975,4,1910,982942,201080,0
2,7700,281 CHURCH STREET,D4,11300,6,1910,982955,201103,0
2,7700,41 WHITE STREET,C7,12000,5,1915,983002,201030,0
2,7700,43 WHITE STREET,D5,33500,7,1915,983035,201010,0
2,7700,47 WHITE STREET,M1,12563,2,1967,983077,200985,0
2,7700,51 WHITE STREET,C7,19700,5,1915,983115,200962,0
2,7700,373 BROADWAY,O5,45006,6,1915,983254,200847,0
2,7700,365 BROADWAY,D7,63600,8,1920,983199,200761,0
2,7700,377 BROADWAY,RB,80149,11,1920,983282,200891,0
2,7700,39 WHITE STREET,RM,13319,5,1920,982980,201043,0
2,7700,55 WHITE STREET,RM,35019,7,1860,983157,200936,0
2,7700,90 FRANKLIN STREET,RM,86640,17,1915,982876,200970,0
2,7700,88 FRANKLIN STREET,RM,33563,7,1915,982938,200947,0
2,7700,5 FRANKLIN PLACE,RM,83596,19,1920,983227,200805,0
2,7700,57 WORTH STREET,W6,60610,9,1928,982498,200628,0
2,7700,53 WORTH STREET,W6,49000,5,1915,982432,200668,0
2,7700,41 WORTH STREET,D0,13100,5,1915,982333,200727,0
2,7700,39 WORTH STREET,D0,11000,5,1915,982309,200742,0
2,7700,35 WORTH STREET,O2,12000,4,1915,982271,200748,0
2,7700,33 WORTH STREET,S2,6765,5,1915,982235,200758,0
2,7700,175 WEST BROADWAY,O2,2725,4,1915,982253,200788,0
2,7700,177 WEST BROADWAY,O5,3951,3,1915,982283,200805,0
2,7700,179 WEST BROADWAY,K2,2580,2,1915,982292,200828,0
2,7700,40 LEONARD STREET,W8,235000,9,2006,982378,200798,0
2,7700,56 LEONARD STREET,RM,366501,56,0,982519,200736,0
2,7700,59 LEONARD STREET,O3,202000,15,1948,982642,200888,0
2,7700,57 LEONARD STREET,L9,11400,5,1915,982572,200877,0
2,7700,55 LEONARD STREET,S9,10800,5,1915,982550,200890,0
2,7700,111 FRANKLIN STREET,W6,33464,5,1915,982562,201003,0
2,7700,105 FRANKLIN STREET,S4,25947,6,1915,982611,200974,0
2,7700,103 FRANKLIN STREET,S3,9091,4,1915,982638,200958,0
2,7700,51 LEONARD STREET,R1,29476,8,1882,982518,200909,0
2,7700,102 FRANKLIN STREET,O5,11720,5,1915,982724,201078,0
2,7700,104 FRANKLIN STREET,O8,10500,5,1900,982703,201092,0
2,7700,106 FRANKLIN STREET,L9,11000,5,1915,982681,201105,0
2,7700,108 FRANKLIN STREET,D4,22309,5,1900,982648,201125,0
2,7700,114 FRANKLIN STREET,S5,11000,5,1915,982594,201158,0
2,7700,116 FRANKLIN STREET,L9,9071,5,1915,982553,201153,0
2,7700,217 WEST BROADWAY,D6,26981,7,2005,982563,201231,0
2,7700,225 WEST BROADWAY,K4,3875,3,1915,982579,201307,0
2,7700,229 WEST BROADWAY,K4,2820,4,1915,982591,201331,0
2,7700,3 WHITE STREET,L9,32803,6,1918,982596,201262,0
2,7700,9 WHITE STREET,C6,17100,5,1912,982652,201243,0
2,7700,13 WHITE STREET,D4,49000,6,1890,982707,201211,0
2,7700,112 FRANKLIN STREET,RM,11466,5,1867,982616,201144,0
2,7700,211 WEST BROADWAY,RM,31876,6,1915,982524,201189,0
2,7700,7 WORTH STREET,D4,43095,6,1920,981993,200934,0
2,7700,1 WORTH STREET,D4,19285,6,1915,981907,200964,0
2,7700,84 HUDSON STREET,D0,51748,7,1915,981895,201117,0
2,7700,10 LEONARD STREET,D0,29610,7,1920,981961,201075,0
2,7700,24 LEONARD STREET,G1,37936,4,1940,982130,200971,0
2,7700,176 WEST BROADWAY,D6,52930,10,2008,982188,200920,0
2,7700,33 LEONARD STREET,K1,679,1,1970,982243,201041,0
2,7700,31 LEONARD STREET,L9,14300,7,1910,982234,201072,0
2,7700,29 LEONARD STREET,L9,14300,7,1920,982214,201087,0
2,7700,23 LEONARD STREET,S5,14350,6,1920,982151,201124,0
2,7700,17 LEONARD STREET,C0,6400,3,1920,982086,201163,0
2,7700,100 HUDSON STREET,D4,73954,10,1919,981916,201252,0
2,7700,153 FRANKLIN STREET,A4,5148,3,1915,982047,201245,0
2,7700,149 FRANKLIN STREET,C6,22600,6,1915,982099,201237,0
2,7700,143 FRANKLIN STREET,L9,33800,6,1915,982164,201218,0
2,7700,139 FRANKLIN STREET,L2,56384,10,1915,982221,201199,0
2,7700,137 FRANKLIN STREET,D4,12127,6,2011,982261,201195,0
2,7700,198 WEST BROADWAY,O1,800,1,1915,982248,201135,0
2,7700,19 LEONARD STREET,R1,14368,4,1920,982119,201143,0
2,7700,25 LEONARD STREET,R1,11289,6,1930,982172,201112,0
2,7700,155 FRANKLIN STREET,RM,40682,6.5,1982,981996,201233,0
2,7700,5 WORTH STREET,RM,10422,5,1915,981939,200966,0
2,7700,27 LEONARD STREET,R1,11143,6,1920,982193,201099,0
2,7700,18 LEONARD STREET,R4,77625,8,1915,982033,201028,0
2,7700,15 LEONARD STREET,R1,23004,90,1940,982040,201182,0
2,7700,73 HUDSON STREET,O8,11500,5,1910,981698,200979,0
2,7700,75 HUDSON STREET,C2,11300,5,1910,981703,201005,0
2,7700,81 HUDSON STREET,S1,3894,3,1920,981732,201065,0
2,7700,9 JAY STREET,A9,4083,3,1940,981603,200919,0
2,7700,13 JAY STREET,D0,13250,5,1915,981556,200948,0
2,7700,15 JAY STREET,L9,11000,5,1920,981531,200952,0
2,7700,19 JAY STREET,A4,7178,5,1920,981483,200951,0
2,7700,353 GREENWICH STREET,S4,7500,5,1900,981455,201099,0
2,7700,17 HARRISON STREET,B1,6000,4,1920,981507,201072,0
2,7700,4 STAPLE STREET,A5,2850,2,1920,981612,200965,0
2,7700,15 HARRISON STREET,S2,6600,4,1900,981525,201051,0
2,7700,71 HUDSON STREET,RM,15421,7,1915,981694,200954,0
2,7700,69 HUDSON STREET,RM,22544,5,1915,981688,200910,0
2,7700,11 JAY STREET,RM,10589,5,1920,981581,200942,0
2,7700,11 HARRISON STREET,RM,14486,7,1915,981574,201045,0
2,7700,17 JAY STREET,R1,1000,5,1920,981507,200956,0
2,7700,13 HARRISON STREET,RM,11428,4.5,1920,981549,201049,0
2,7700,345 GREENWICH STREET,RM,29031,6,1920,981452,201022,0
2,7700,339 GREENWICH STREET,RM,51010,7,1915,981431,200960,0
2,7700,77 HUDSON STREET,RM,9994,6,1910,981728,201035,0
2,7700,5 HARRISON STREET,RM,15330,6,2000,981683,201051,0
2,7700,349 GREENWICH STREET,RM,22047,6,1920,981449,201068,0
2,7700,7 HARRISON STREET,RM,31071,8,1900,981612,201038,0
2,7700,10 HARRISON STREET,L9,12400,6,1920,981636,201194,0
2,7700,14 HARRISON STREET,D4,15600,6,1915,981582,201201,0
2,7700,18 HARRISON STREET,O2,7800,5,1915,981554,201205,0
2,7700,20 HARRISON STREET,S2,6500,4,1899,981534,201207,0
2,7700,369 GREENWICH STREET,O5,7687,5,1920,981473,201337,0
2,7700,187 FRANKLIN STREET,A9,3863,5,1992,981523,201331,0
2,7700,185 FRANKLIN STREET,O2,8430,6,1915,981547,201305,0
2,7700,181 FRANKLIN STREET,O5,26000,6,1915,981583,201292,0
2,7700,177 FRANKLIN STREET,O5,12100,6,1920,981623,201287,0
2,7700,175 FRANKLIN STREET,L8,15244,6,1915,981647,201284,0
2,7700,173 FRANKLIN STREET,K4,5920,4,1900,981673,201281,0
2,7700,22 HARRISON STREET,S1,4500,4,1915,981512,201190,0
2,7700,24 HARRISON STREET,L9,5999,4,1915,981486,201194,0
2,7700,355 GREENWICH STREET,RM,17135,5,1915,981446,201212,0
2,7700,363 GREENWICH STREET,RM,29305,4,1915,981486,201284,0
2,7700,6 HARRISON STREET,RC,38213,8.5,1915,981724,201177,0
2,7700,93 HUDSON STREET,RB,133010,16,1930,981735,201266,0
2,7700,12 HARRISON STREET,RM,9343,6,1920,981612,201198,0
2,7700,8 HARRISON STREET,RM,11294,5,1915,981661,201191,0
2,7700,178 FRANKLIN STREET,D4,16568,6,1915,981664,201434,0
2,7700,182 FRANKLIN STREET,L9,8490,5,1915,981636,201438,0
2,7700,184 FRANKLIN STREET,C7,9214,6,1901,981615,201440,0
2,7700,186 FRANKLIN STREET,D5,24700,6,1921,981579,201444,0
2,7700,377 GREENWICH STREET,H1,75533,7,2005,981514,201537,0
2,7700,56 NORTH MOORE STREET,G1,41067,5,1940,981665,201524,0
2,7700,117 HUDSON STREET,D7,35600,6,1915,981766,201529,0
2,7700,105 HUDSON STREET,D0,89724,11,1920,981755,201419,0
2,7700,375 GREENWICH STREET,RB,50240,8,1956,981503,201449,0
2,7700,64 NORTH MOORE STREET,RM,21929,5,1910,981590,201532,0
2,7700,111 HUDSON STREET,RM,27866,6,1910,981765,201480,0
2,7700,176 FRANKLIN STREET,RM,6189,3,1915,981692,201431,0
2,7700,55 NORTH MOORE STREET,D4,23700,6,1915,981711,201671,0
2,7700,385 GREENWICH STREET,S2,6217,4,1920,981517,201663,0
2,7700,65 NORTH MOORE STREET,RM,34723,6,1915,981609,201683,0
2,7700,62 BEACH STREET,RM,76176,8,1915,981543,201745,0
2,7700,53 NORTH MOORE STREET,RM,102511,6,1910,981794,201705,0
2,7700,61 NORTH MOORE STREET,R1,23266,7,1915,981659,201677,0
2,7700,48 BEACH STREET,R4,70758,7,1930,981674,201765,0
2,7700,144 FRANKLIN STREET,C6,22827,7,1915,982151,201370,0
2,7700,148 FRANKLIN STREET,D4,24000,7,1915,982111,201375,0
2,7700,156 FRANKLIN STREET,D4,14460,7,1910,982029,201386,0
2,7700,160 FRANKLIN STREET,S5,11628,6,1915,981978,201392,0
2,7700,118 HUDSON STREET,D7,22950,6,1915,981943,201514,0
2,7700,42 NORTH MOORE STREET,D2,12200,6,1921,981991,201484,0
2,7700,34 NORTH MOORE STREET,D0,28500,7,1910,982080,201473,0
2,7700,28 NORTH MOORE STREET,D5,21400,7,1915,982146,201465,0
2,7700,26 NORTH MOORE STREET,G1,1606,1,1920,982175,201461,0
2,7700,20 NORTH MOORE STREET,D4,60600,9,1921,982220,201456,0
2,7700,18 NORTH MOORE STREET,C7,7715,5,1910,982268,201456,0
2,7700,16 NORTH MOORE STREET,C4,9550,5,1910,982294,201453,0
2,7700,10 NORTH MOORE STREET,Y1,6093,3,1920,982421,201436,0
2,7700,232 WEST BROADWAY,A4,10916,6,1915,982498,201439,0
2,7700,228 WEST BROADWAY,S5,14892,6,1915,982456,201436,0
2,7700,226 WEST BROADWAY,A9,5235,4,1915,982455,201384,0
2,7700,220 WEST BROADWAY,RM,21260,10,1915,982423,201339,0
2,7700,110 HUDSON STREET,RX,38012,10,1921,981926,201389,0
2,7700,32 NORTH MOORE STREET,RM,11565,7,1950,982115,201469,0
2,7700,158 FRANKLIN STREET,RM,12797,6,1920,982004,201389,0
2,7700,112 HUDSON STREET,RM,7215,6,1915,981932,201434,0
2,7700,152 FRANKLIN STREET,RM,24144,7,0,982066,201381,0
2,7700,140 FRANKLIN STREET,RM,70189,65,1910,982235,201363,0
2,7700,38 NORTH MOORE STREET,RM,25015,6,1915,982030,201480,0
2,7700,114 HUDSON STREET,RM,13860,7,2004,981937,201467,0
2,7700,122 HUDSON STREET,O2,17000,6,1915,981961,201610,0
2,7700,14 BEACH STREET,Y2,23300,3,1915,982285,201682,0
2,7700,10 BEACH STREET,D4,11834,6,1915,982507,201643,0
2,7700,8 BEACH STREET,S9,14886,8,1915,982532,201634,0
2,7700,248 WEST BROADWAY,L9,35057,8,1915,982582,201616,0
2,7700,246 WEST BROADWAY,O5,2350,4,1910,982589,201577,0
2,7700,7 NORTH MOORE STREET,Y6,3393,3,1960,982517,201560,0
2,7700,39 NORTH MOORE STREET,RM,32426,6,1909,982049,201672,0
2,7700,9 NORTH MOORE STREET,RM,3041,6,1893,982496,201563,0
2,7700,31 NORTH MOORE STREET,RM,82955,8,1915,982135,201612,0
2,7700,27 NORTH MOORE STREET,RM,158730,14,1905,982180,201670,0
2,7700,25 NORTH MOORE STREET,RM,111829,17,1924,982272,201593,0
2,7700,124 HUDSON STREET,RM,81306,9,2000,981980,201701,0
2,7700,41 NORTH MOORE STREET,RM,7177,6,1910,982019,201625,0
2,7700,240 WEST BROADWAY,R1,21741,11,2008,982556,201553,0
2,7700,11 NORTH MOORE STREET,R4,59134,9,2013,982459,201619,0
2,7700,2 AVENUE OF THE AMER,HB,133895,8,1999,982907,201358,0
2,7700,8 WHITE STREET,C6,15538,5,1915,982691,201382,0
2,7700,4 WHITE STREET,D7,19920,6,1915,982652,201401,0
2,7700,2 WHITE STREET,S1,1660,2,1915,982618,201406,0
2,7700,241 WEST BROADWAY,L9,18719,6,1915,982686,201447,0
2,7700,245 WEST BROADWAY,M1,2738,2,1960,982704,201469,0
2,7700,247 WEST BROADWAY,S3,10800,4,1920,982717,201483,0
2,7700,23 AVENUE OF THE AMER,K4,11700,3,1950,982726,201520,0
2,7700,11 AVENUE OF THE AMER,K2,1895,2,1920,982755,201428,0
2,7700,12 WHITE STREET,R1,10811,6,1977,982722,201372,0
