height,x,y,z,ox,ox,oz,type,dx,dy,dz
1.66248,3.59775,1.30411,1.92716,3.1202,1.30898,0.0513077,Mobile,-0.47755,0.00487,-1.8758523
1.72652,3.88497,1.44709,1.92005,3.11596,1.53098,0.437123,Film,-0.76901,0.08389,-1.482927
1.65646,4.14801,1.43613,1.86028,3.29491,1.37811,0.077694,DSLR,-0.8531,-0.05802,-1.782586
1.75789,4.64347,1.45673,1.36792,2.95846,1.20828,0.051326,DSLR,-1.68501,-0.24845,-1.316594
1.71111,2.17354,1.27741,2.36673,2.95511,1.20909,0.146287,Mobile,0.78157,-0.06832,-2.220443
1.80903,1.73363,1.41999,1.6831,3.18209,1.59879,0.335643,Mobile,1.44846,0.1788,-1.347457
1.53423,3.49341,1.32934,1.87578,3.01832,1.57777,0.317661,Mobile,-0.47509,0.24843,-1.558119
1.67997,1.80744,1.4363,1.82421,3.22948,1.4482,0.494491,Mobile,1.42204,0.0119,-1.329719
1.81939,4.36742,1.47152,1.16554,2.96613,1.35975,0.0763573,Mobile,-1.40129,-0.11177,-1.0891827
1.68494,4.48778,1.51861,1.12447,3.08331,1.32537,0.0643452,Mobile,-1.40447,-0.19324,-1.0601248
1.64551,3.85233,1.28101,2.14056,3.01979,1.5296,0.360656,Mobile,-0.83254,0.24859,-1.779904
1.66045,1.09463,1.30852,1.17537,2.96503,1.37468,0.252565,DSLR,1.8704,0.06616,-0.922805
1.56787,1.4756,1.26402,1.81471,3.08246,1.22601,0.493155,Mobile,1.60686,-0.03801,-1.321555
1.7866,4.19928,1.54687,1.54231,2.82854,1.47877,0.430366,Mobile,-1.37074,-0.0681,-1.111944
1.56785,1.6535,1.27335,1.61006,2.77965,1.22128,0.194153,Mobile,1.12615,-0.05207,-1.415907
1.63466,1.7039,1.37738,1.44829,3.13009,1.26878,0.111606,Mobile,1.42619,-0.1086,-1.336684
1.74575,1.63928,1.46495,1.67629,3.02885,1.53185,0.358495,Mobile,1.38957,0.0669,-1.317795
1.76492,3.65133,1.33123,1.63427,3.25539,1.21984,0.248115,Mobile,-0.39594,-0.11139,-1.386155
1.58419,4.55144,1.40549,1.18769,3.26962,1.30795,0.177252,Mobile,-1.28182,-0.09754,-1.010438
1.64828,0.885499,1.26614,1.16743,3.28575,1.46921,0.373199,Mobile,2.400251,0.20307,-0.794231
1.63227,2.0512,1.42831,1.29167,3.18578,1.33966,0.485885,DSLR,1.13458,-0.08865,-0.805785
1.81821,3.14107,1.57991,1.71143,3.08384,1.59447,0.42447,Mobile,-0.05723,0.01456,-1.28696
1.802,2.40567,1.57293,1.61353,3.05027,1.3168,0.119443,Mobile,0.6446,-0.25613,-1.494087
1.71789,3.75132,1.50712,1.83709,3.1807,1.58954,0.177068,DSLR,-0.57062,0.08242,-1.660022
1.75907,1.56256,1.48057,1.16856,3.12463,1.38017,0.556822,Mobile,1.56207,-0.1004,-0.611738
1.70035,4.08122,1.47417,1.54844,3.24532,1.27569,0.318943,Mobile,-0.8359,-0.19848,-1.229497
1.65806,1.43182,1.36329,1.91626,2.8438,1.30188,0.234602,Film,1.41198,-0.06141,-1.681658
1.7229,3.30584,1.57058,1.16722,3.21764,1.58535,0.498795,Mobile,-0.0882,0.01477,-0.668425
1.70015,1.76579,1.31757,2.17797,3.21786,1.23191,0.412293,Film,1.45207,-0.08566,-1.765677
1.54964,1.11602,1.14534,1.35587,2.88661,1.35596,0.178771,Mobile,1.77059,0.21062,-1.177099
1.77937,2.79129,1.38336,1.99672,2.98166,1.34871,0.369903,Mobile,0.19037,-0.03465,-1.626817
1.67982,3.95379,1.42041,2.05576,3.19456,1.47152,0.0223395,Mobile,-0.75923,0.05111,-2.0334205
1.64817,1.29426,1.23978,1.12896,2.72406,1.55107,0.219129,DSLR,1.4298,0.31129,-0.909831
1.63048,1.68421,1.43078,1.23631,3.24866,1.58931,0.0491653,DSLR,1.56445,0.15853,-1.1871447
1.55424,3.30104,1.37131,1.84029,2.72725,1.32901,0.509671,DSLR,-0.57379,-0.0423,-1.330619
1.75234,2.32629,1.57136,1.53872,2.92134,1.28926,0.0879116,Mobile,0.59505,-0.2821,-1.4508084
1.67246,2.53157,1.28356,1.68374,2.74829,1.35104,0.111405,DSLR,0.21672,0.06748,-1.572335
1.65019,4.18699,1.45411,1.32111,3.22053,1.2835,0.558415,DSLR,-0.96646,-0.17061,-0.762695
1.75003,1.66745,1.40463,1.3723,3.27349,1.30534,0.154326,Film,1.60604,-0.09929,-1.217974
1.67063,4.43033,1.37482,1.23782,2.91102,1.32347,0.114389,Mobile,-1.51931,-0.05135,-1.123431
1.73325,1.42111,1.37956,1.92793,3.27706,1.53226,0.506888,Mobile,1.85595,0.1527,-1.421042
1.67695,3.76619,1.45539,2.08189,2.76834,1.24227,0.177966,Mobile,-0.99785,-0.21312,-1.903924
1.70432,1.90139,1.55179,1.81568,3.01548,1.38586,0.174322,Mobile,1.11409,-0.16593,-1.641358
1.82914,3.48257,1.53289,2.00101,2.74624,1.36976,0.297171,DSLR,-0.73633,-0.16313,-1.703839
1.54901,1.93148,1.15449,1.28699,3.28854,1.46175,0.0983673,DSLR,1.35706,0.30726,-1.1886227
1.81549,1.70361,1.60494,2.0161,2.83913,1.55752,0.357781,Film,1.13552,-0.04742,-1.658319
1.83375,3.83698,1.48657,1.74195,3.0983,1.42891,0.539006,DSLR,-0.73868,-0.05766,-1.202944
1.69261,1.75417,1.51735,1.73444,3.12066,1.45178,0.180731,Mobile,1.36649,-0.06557,-1.553709
1.63201,2.24612,1.35628,1.63818,2.73774,1.40289,0.5202,Mobile,0.49162,0.04661,-1.11798
1.76315,2.3079,1.56453,1.72986,2.93977,1.25136,0.536277,DSLR,0.63187,-0.31317,-1.193583
1.8311,3.30248,1.56172,1.12088,2.83951,1.39785,0.520457,Mobile,-0.46297,-0.16387,-0.600423
1.65992,1.52196,1.38774,1.42905,3.15536,1.58829,0.306272,DSLR,1.6334,0.20055,-1.122778
1.76035,1.94533,1.34004,2.11836,2.81673,1.5951,0.289535,DSLR,0.8714,0.25506,-1.828825
1.56265,3.67385,1.30303,1.77289,2.99087,1.36854,0.425623,Mobile,-0.68298,0.06551,-1.347267
1.64824,1.93207,1.48237,1.26586,3.02685,1.56556,0.172546,Film,1.09478,0.08319,-1.093314
1.68855,1.71307,1.48952,1.54586,3.19021,1.41047,0.334416,Mobile,1.47714,-0.07905,-1.211444
1.54758,4.58165,1.15559,1.62463,3.28967,1.58351,0.222864,DSLR,-1.29198,0.42792,-1.401766
1.61532,1.74159,1.35092,1.14826,2.85574,1.51843,0.571819,DSLR,1.11415,0.16751,-0.576441
1.69038,3.78507,1.46551,1.50921,3.29095,1.3693,0.0847621,DSLR,-0.49412,-0.09621,-1.4244479
1.61572,3.97627,1.33916,1.49764,2.85033,1.22898,0.242879,DSLR,-1.12594,-0.11018,-1.254761
1.59132,4.17205,1.31748,1.6267,2.90294,1.3986,0.527396,Mobile,-1.26911,0.08112,-1.099304
1.78121,1.59941,1.51022,1.10564,3.14417,1.46731,0.589911,DSLR,1.54476,-0.04291,-0.515729
1.79061,3.76697,1.56063,1.33873,3.15287,1.31531,0.0110782,Mobile,-0.6141,-0.24532,-1.3276518
1.553,3.56174,1.16693,1.59638,2.78753,1.35125,0.399091,Mobile,-0.77421,0.18432,-1.197289
1.73614,1.6663,1.54059,1.24344,2.87053,1.38604,0.367394,DSLR,1.20423,-0.15455,-0.876046
1.70879,2.14832,1.4473,1.73414,3.09147,1.38054,0.474111,DSLR,0.94315,-0.06676,-1.260029
1.77125,2.25816,1.60904,1.88358,3.14688,1.53349,0.573962,DSLR,0.88872,-0.07555,-1.309618
1.53339,2.0061,1.21037,2.33103,2.89659,1.2486,0.507804,Mobile,0.89049,0.03823,-1.823226
1.65642,4.05033,1.34893,1.86785,3.23395,1.48618,0.505661,DSLR,-0.81638,0.13725,-1.362189
1.61795,1.82289,1.31275,1.47474,2.71229,1.51471,0.182965,Film,0.8894,0.20196,-1.291775
1.48486,1.81767,1.28508,1.61216,3.01808,1.38211,0.243117,Mobile,1.20041,0.09703,-1.369043
1.71629,1.85064,1.38423,1.21599,3.00677,1.37348,0.433882,Mobile,1.15613,-0.01075,-0.782108
1.78943,4.53015,1.63417,1.17281,2.89747,1.56387,0.0198859,Film,-1.63268,-0.0703,-1.1529241
1.64166,1.49666,1.2434,1.54499,3.22961,1.35988,0.499509,Mobile,1.73295,0.11648,-1.045481
1.6233,2.46356,1.39555,1.87969,2.99503,1.30253,0.189593,Mobile,0.53147,-0.09302,-1.690097
1.54514,1.78512,1.17539,1.10935,3.04815,1.22659,0.499838,DSLR,1.26303,0.0512,-0.609512
1.67657,3.90126,1.30528,1.41532,2.73831,1.58811,0.29415,DSLR,-1.16295,0.28283,-1.12117
1.76035,4.18417,1.43807,1.98797,2.77852,1.43175,0.366405,DSLR,-1.40565,-0.00632,-1.621565
1.74456,2.3437,1.3265,1.10553,2.73737,1.32381,0.214551,Film,0.39367,-0.00269,-0.890979
1.68258,4.19273,1.49902,1.50051,3.29312,1.27415,0.058504,Film,-0.89961,-0.22487,-1.442006
1.65646,2.20635,1.42662,1.55861,2.79181,1.26173,0.0851833,Mobile,0.58546,-0.16489,-1.4734267
1.66703,4.1929,1.39569,1.36603,2.98523,1.31382,0.296127,Mobile,-1.20767,-0.08187,-1.069903
1.68423,2.26145,1.46104,1.71777,2.75858,1.41749,0.153191,Mobile,0.49713,-0.04355,-1.564579
1.60915,4.68919,1.30062,1.17367,2.87267,1.51504,0.340806,Mobile,-1.81652,0.21442,-0.832864
1.64216,3.65407,1.2356,1.85919,3.11147,1.50113,0.263918,DSLR,-0.5426,0.26553,-1.595272
1.72101,4.01773,1.39951,1.17119,3.02098,1.54963,0.456111,Mobile,-0.99675,0.15012,-0.715079
1.60085,2.75375,1.30336,1.60712,2.92358,1.30216,0.15374,DSLR,0.16983,-0.0012,-1.45338
1.77952,3.91351,1.497,1.72626,3.168,1.49796,0.17824,Mobile,-0.74551,0.00096,-1.54802
1.65723,1.90797,1.35246,1.69363,2.90424,1.36584,0.231764,Film,0.99627,0.01338,-1.461866
1.58899,1.44195,1.20314,1.3844,2.73084,1.38489,0.0288766,DSLR,1.28889,0.18175,-1.3555234
1.79373,1.50718,1.39449,1.13315,2.82135,1.29831,0.431227,DSLR,1.31417,-0.09618,-0.701923
1.82962,1.74512,1.54776,1.23085,2.87659,1.38867,0.200653,Mobile,1.13147,-0.15909,-1.030197
1.51014,2.31041,1.23099,1.4219,2.74058,1.23836,0.412146,DSLR,0.43017,0.00737,-1.009754
1.49726,4.27347,1.17717,1.45347,2.83775,1.55972,0.247273,Mobile,-1.43572,0.38255,-1.206197
1.48223,2.31998,1.25782,1.27617,2.81263,1.43284,0.496487,Mobile,0.49265,0.17502,-0.779683
1.73514,4.67162,1.43106,1.27929,2.75398,1.28719,0.508884,Mobile,-1.91764,-0.14387,-0.770406
1.61911,3.69848,1.23656,1.99487,3.23972,1.45374,0.0167913,DSLR,-0.45876,0.21718,-1.9780787
1.84553,4.67675,1.5165,1.38327,2.82133,1.35075,0.304495,Mobile,-1.85542,-0.16575,-1.078775
1.72706,1.19096,1.51467,1.1719,2.75261,1.59388,0.260018,DSLR,1.56165,0.07921,-0.911882
1.6969,2.28995,1.44618,1.38131,3.22994,1.59491,0.222333,DSLR,0.93999,0.14873,-1.158977
1.66685,2.80909,1.29288,1.8207,3.22965,1.57932,0.287228,Mobile,0.42056,0.28644,-1.533472
1.59335,4.13834,1.31226,1.35016,3.07184,1.46347,0.539409,Film,-1.0665,0.15121,-0.810751
1.80764,4.65937,1.64313,1.93931,3.1885,1.53541,0.0109317,DSLR,-1.47087,-0.10772,-1.9283783
1.68087,0.892396,1.33725,1.18136,3.29991,1.23182,0.101755,Mobile,2.407514,-0.10543,-1.079605
1.51102,2.56242,1.18001,1.1967,2.78247,1.54441,0.0110965,Film,0.22005,0.3644,-1.1856035
1.6418,1.82465,1.33841,1.60616,2.91906,1.57424,0.296512,Mobile,1.09441,0.23583,-1.309648
1.67647,4.19501,1.27682,1.80427,3.03225,1.53197,0.47087,Mobile,-1.16276,0.25515,-1.3334
1.78989,3.82777,1.57654,1.26841,3.09144,1.30378,0.446828,Mobile,-0.73633,-0.27276,-0.821582
1.76509,3.55089,1.61455,1.92449,2.72443,1.41995,0.113675,Mobile,-0.82646,-0.1946,-1.810815
1.6868,1.40461,1.31824,1.10602,2.93618,1.32257,0.061269,Mobile,1.53157,0.00433,-1.044751
1.64826,2.23909,1.29584,1.36264,2.70819,1.28333,0.522764,Mobile,0.4691,-0.01251,-0.839876
1.65225,4.5633,1.20315,1.77399,2.90562,1.41954,0.268789,DSLR,-1.65768,0.21639,-1.505201
1.60262,1.6297,1.29997,1.21005,3.0211,1.44825,0.524192,DSLR,1.3914,0.14828,-0.685858
1.67584,4.77814,1.48505,1.70467,3.11876,1.55333,0.0702048,Mobile,-1.65938,0.06828,-1.6344652
1.65359,2.5854,1.47863,1.4895,3.17569,1.46922,0.414966,Mobile,0.59029,-0.00941,-1.074534
1.61136,3.82312,1.43817,1.41412,2.93345,1.45803,0.138157,DSLR,-0.88967,0.01986,-1.275963
1.78501,3.97522,1.58656,1.42444,3.03755,1.52261,0.117228,Mobile,-0.93767,-0.06395,-1.307212
1.78158,2.15231,1.5528,1.52288,2.93858,1.40884,0.196002,DSLR,0.78627,-0.14396,-1.326878
1.78136,4.10251,1.61586,1.20621,3.22677,1.55399,0.239967,Film,-0.87574,-0.06187,-0.966243
1.46672,2.27381,1.05093,1.18201,3.04727,1.58558,0.307389,Mobile,0.77346,0.53465,-0.874621
1.82287,2.26276,1.60524,1.51476,3.07346,1.31704,0.329234,Mobile,0.8107,-0.2882,-1.185526
1.79723,4.45688,1.44389,1.30494,3.27262,1.27117,0.50773,Mobile,-1.18426,-0.17272,-0.79721
1.55697,4.33875,1.33424,1.22954,2.85885,1.44125,0.288437,Mobile,-1.4799,0.10701,-0.941103
1.58863,4.25224,1.19167,2.05402,3.26709,1.323,0.108457,DSLR,-0.98515,0.13133,-1.945563
1.81866,2.4499,1.58286,2.63272,2.97333,1.46601,0.449776,Mobile,0.52343,-0.11685,-2.182944
1.61909,3.35317,1.40395,1.75068,3.00684,1.55425,0.10593,Film,-0.34633,0.1503,-1.64475
1.52393,1.59905,1.28831,1.30612,3.12235,1.37867,0.278018,Mobile,1.5233,0.09036,-1.028102
1.67589,1.95518,1.34824,1.81658,3.10211,1.26289,0.425587,Mobile,1.14693,-0.08535,-1.390993
1.69482,4.12999,1.28973,1.2837,3.21167,1.39401,0.188055,Mobile,-0.91832,0.10428,-1.095645
1.6499,4.50755,1.4304,1.11076,2.91523,1.34606,0.232936,Mobile,-1.59232,-0.08434,-0.877824
1.79675,1.93478,1.63605,1.17393,3.04328,1.31255,0.457338,Mobile,1.1085,-0.3235,-0.716592
1.67255,1.46115,1.43758,1.16978,2.76706,1.43674,0.242842,DSLR,1.30591,-0.00084,-0.926938
1.71778,2.59519,1.28092,2.22214,3.05298,1.39533,0.514341,DSLR,0.45779,0.11441,-1.707799
1.6907,2.20253,1.48966,2.0728,3.01361,1.30089,0.257784,Mobile,0.81108,-0.18877,-1.815016
1.63576,2.38631,1.48439,1.72803,3.22106,1.29257,0.384808,Film,0.83475,-0.19182,-1.343222
1.75441,4.06609,1.42123,2.09799,3.27363,1.53213,0.466878,Mobile,-0.79246,0.1109,-1.631112
1.82091,2.19771,1.53428,1.89975,2.98717,1.36374,0.37622,Mobile,0.78946,-0.17054,-1.52353
1.68228,1.73378,1.47441,2.088,2.98864,1.58147,0.336576,Mobile,1.25486,0.10706,-1.751424
1.73065,1.59167,1.3468,1.40623,2.901,1.32649,0.182617,Mobile,1.30933,-0.02031,-1.223613
1.79128,1.98097,1.34606,1.27814,2.9968,1.35992,0.0245003,Mobile,1.01583,0.01386,-1.2536397
1.84399,3.62522,1.52267,1.95715,3.03947,1.37212,0.0901822,Mobile,-0.58575,-0.15055,-1.8669678
1.50554,4.1696,1.25379,1.91638,2.70154,1.25109,0.54752,Mobile,-1.46806,-0.0027,-1.36886
1.55402,2.23821,1.25934,1.503,3.12211,1.4848,0.0656087,Mobile,0.8839,0.22546,-1.4373913
1.63347,3.91828,1.26065,1.93759,2.71639,1.5715,0.435383,Mobile,-1.20189,0.31085,-1.502207
1.68391,2.09278,1.46878,1.5159,2.95573,1.30225,0.00789209,DSLR,0.86295,-0.16653,-1.50800791
1.69448,1.62282,1.51153,1.94462,2.76726,1.51598,0.101132,DSLR,1.14444,0.00445,-1.843488
1.68791,4.69533,1.41961,1.1816,2.73961,1.4554,0.545195,Film,-1.95572,0.03579,-0.636405
1.50242,1.56801,1.23523,1.23638,2.93336,1.42586,0.259651,Mobile,1.36535,0.19063,-0.976729
1.51897,2.52213,1.33852,2.31728,3.06254,1.52438,0.457704,Mobile,0.54041,0.18586,-1.859576
1.73259,1.75231,1.43252,1.36666,2.80815,1.21726,0.225391,DSLR,1.05584,-0.21526,-1.141269
1.67641,3.94202,1.30345,1.50964,2.92275,1.54835,0.308176,Mobile,-1.01927,0.2449,-1.201464
1.6871,1.72485,1.45514,1.24362,3.06124,1.20692,0.420698,Film,1.33639,-0.24822,-0.822922
1.68094,1.70442,1.27372,1.10149,2.80238,1.42696,0.560942,Mobile,1.09796,0.15324,-0.540548
1.62175,4.48522,1.43678,2.05551,2.78299,1.37336,0.525913,Mobile,-1.70223,-0.06342,-1.529597
1.69904,4.3762,1.48437,2.1034,2.72728,1.55047,0.170843,DSLR,-1.64892,0.0661,-1.932557
1.7672,2.51174,1.61173,1.52983,3.09252,1.29058,0.00260018,Mobile,0.58078,-0.32115,-1.52722982
1.64567,3.96904,1.32499,1.24644,2.94378,1.39642,0.123453,Mobile,-1.02526,0.07143,-1.122987
1.62177,4.86906,1.35655,1.1018,3.19087,1.57202,0.220997,Mobile,-1.67819,0.21547,-0.880803
