SchoolDist,HealthArea,Address,BldgClass,BldgArea,NumFloors,YearBuilt,XCoord,YCoord
2,7700,353 BROADWAY,K4,15000,2,1915,983078,200599
2,7700,351 BROADWAY,K4,14445,4,1915,983062,200573
2,7700,349 BROADWAY,O6,42000,9,1915,983056,200547
2,7700,6567 LEONARD STREET,RM,8348,5,1915,982727,200754
2,7700,95 FRANKLIN STREET,RM,20094,7,1915,982824,200853
2,7700,85 LEONARD STREET,RM,21246,5,1910,982948,200665
2,7700,87 LEONARD STREET,R1,30003,6,0,982977,200645
2,7700,70 FRANKLIN STREET,D6,20500,5,1915,983108,200844
2,7700,74 FRANKLIN STREET,S4,9796,5,1915,983078,200862
2,7700,76 FRANKLIN STREET,C6,11100,5,1915,983055,200876
2,7700,78 FRANKLIN STREET,S9,15563,6,1915,983034,200889
2,7700,80 FRANKLIN STREET,S9,11020,5,1915,983013,200902
2,7700,82 FRANKLIN STREET,S5,15300,6,1915,982992,200914
2,7700,84 FRANKLIN STREET,L9,6132,4,1915,982971,200927
2,7700,273 CHURCH STREET,K4,7799,4,1910,982902,201014
2,7700,275 CHURCH STREET,S9,7111,4,1910,982915,201036
2,7700,277 CHURCH STREET,S3,6375,4,1910,982928,201058
2,7700,279 CHURCH STREET,L9,8975,4,1910,982942,201080
2,7700,281 CHURCH STREET,D4,11300,6,1910,982955,201103
2,7700,41 WHITE STREET,C7,12000,5,1915,983002,201030
2,7700,43 WHITE STREET,D5,33500,7,1915,983035,201010
2,7700,47 WHITE STREET,M1,12563,2,1967,983077,200985
2,7700,51 WHITE STREET,C7,19700,5,1915,983115,200962
2,7700,373 BROADWAY,O5,45006,6,1915,983254,200847
2,7700,365 BROADWAY,D7,63600,8,1920,983199,200761
2,7700,377 BROADWAY,RB,80149,11,1920,983282,200891
2,7700,39 WHITE STREET,RM,13319,5,1920,982980,201043
2,7700,55 WHITE STREET,RM,35019,7,1860,983157,200936
2,7700,90 FRANKLIN STREET,RM,86640,17,1915,982876,200970
2,7700,88 FRANKLIN STREET,RM,33563,7,1915,982938,200947
2,7700,5 FRANKLIN PLACE,RM,83596,19,1920,983227,200805
2,7700,57 WORTH STREET,W6,60610,9,1928,982498,200628
2,7700,53 WORTH STREET,W6,49000,5,1915,982432,200668
2,7700,41 WORTH STREET,D0,13100,5,1915,982333,200727
2,7700,39 WORTH STREET,D0,11000,5,1915,982309,200742
2,7700,35 WORTH STREET,O2,12000,4,1915,982271,200748
2,7700,33 WORTH STREET,S2,6765,5,1915,982235,200758
2,7700,175 WEST BROADWAY,O2,2725,4,1915,982253,200788
2,7700,177 WEST BROADWAY,O5,3951,3,1915,982283,200805
2,7700,179 WEST BROADWAY,K2,2580,2,1915,982292,200828
2,7700,40 LEONARD STREET,W8,235000,9,2006,982378,200798
2,7700,56 LEONARD STREET,RM,366501,56,0,982519,200736
2,7700,59 LEONARD STREET,O3,202000,15,1948,982642,200888
2,7700,57 LEONARD STREET,L9,11400,5,1915,982572,200877
2,7700,55 LEONARD STREET,S9,10800,5,1915,982550,200890
2,7700,111 FRANKLIN STREET,W6,33464,5,1915,982562,201003
2,7700,105 FRANKLIN STREET,S4,25947,6,1915,982611,200974
2,7700,103 FRANKLIN STREET,S3,9091,4,1915,982638,200958
2,7700,51 LEONARD STREET,R1,29476,8,1882,982518,200909
2,7700,102 FRANKLIN STREET,O5,11720,5,1915,982724,201078
2,7700,104 FRANKLIN STREET,O8,10500,5,1900,982703,201092
2,7700,106 FRANKLIN STREET,L9,11000,5,1915,982681,201105
2,7700,108 FRANKLIN STREET,D4,22309,5,1900,982648,201125
2,7700,114 FRANKLIN STREET,S5,11000,5,1915,982594,201158
2,7700,116 FRANKLIN STREET,L9,9071,5,1915,982553,201153
2,7700,217 WEST BROADWAY,D6,26981,7,2005,982563,201231
2,7700,225 WEST BROADWAY,K4,3875,3,1915,982579,201307
2,7700,229 WEST BROADWAY,K4,2820,4,1915,982591,201331
2,7700,3 WHITE STREET,L9,32803,6,1918,982596,201262
2,7700,9 WHITE STREET,C6,17100,5,1912,982652,201243
2,7700,13 WHITE STREET,D4,49000,6,1890,982707,201211
2,7700,112 FRANKLIN STREET,RM,11466,5,1867,982616,201144
2,7700,211 WEST BROADWAY,RM,31876,6,1915,982524,201189
2,7700,7 WORTH STREET,D4,43095,6,1920,981993,200934
2,7700,1 WORTH STREET,D4,19285,6,1915,981907,200964
2,7700,84 HUDSON STREET,D0,51748,7,1915,981895,201117
2,7700,10 LEONARD STREET,D0,29610,7,1920,981961,201075
2,7700,24 LEONARD STREET,G1,37936,4,1940,982130,200971
2,7700,176 WEST BROADWAY,D6,52930,10,2008,982188,200920
2,7700,33 LEONARD STREET,K1,679,1,1970,982243,201041
2,7700,31 LEONARD STREET,L9,14300,7,1910,982234,201072
2,7700,29 LEONARD STREET,L9,14300,7,1920,982214,201087
2,7700,23 LEONARD STREET,S5,14350,6,1920,982151,201124
2,7700,17 LEONARD STREET,C0,6400,3,1920,982086,201163
2,7700,100 HUDSON STREET,D4,73954,10,1919,981916,201252
2,7700,153 FRANKLIN STREET,A4,5148,3,1915,982047,201245
2,7700,149 FRANKLIN STREET,C6,22600,6,1915,982099,201237
2,7700,143 FRANKLIN STREET,L9,33800,6,1915,982164,201218
2,7700,139 FRANKLIN STREET,L2,56384,10,1915,982221,201199
2,7700,137 FRANKLIN STREET,D4,12127,6,2011,982261,201195
2,7700,198 WEST BROADWAY,O1,800,1,1915,982248,201135
2,7700,19 LEONARD STREET,R1,14368,4,1920,982119,201143
2,7700,25 LEONARD STREET,R1,11289,6,1930,982172,201112
2,7700,155 FRANKLIN STREET,RM,40682,6.5,1982,981996,201233
2,7700,5 WORTH STREET,RM,10422,5,1915,981939,200966
2,7700,27 LEONARD STREET,R1,11143,6,1920,982193,201099
2,7700,18 LEONARD STREET,R4,77625,8,1915,982033,201028
2,7700,15 LEONARD STREET,R1,23004,90,1940,982040,201182
2,7700,73 HUDSON STREET,O8,11500,5,1910,981698,200979
2,7700,75 HUDSON STREET,C2,11300,5,1910,981703,201005
2,7700,81 HUDSON STREET,S1,3894,3,1920,981732,201065
2,7700,9 JAY STREET,A9,4083,3,1940,981603,200919
2,7700,13 JAY STREET,D0,13250,5,1915,981556,200948
2,7700,15 JAY STREET,L9,11000,5,1920,981531,200952
2,7700,19 JAY STREET,A4,7178,5,1920,981483,200951
2,7700,353 GREENWICH STREET,S4,7500,5,1900,981455,201099
2,7700,17 HARRISON STREET,B1,6000,4,1920,981507,201072
2,7700,4 STAPLE STREET,A5,2850,2,1920,981612,200965
2,7700,15 HARRISON STREET,S2,6600,4,1900,981525,201051
2,7700,71 HUDSON STREET,RM,15421,7,1915,981694,200954
2,7700,69 HUDSON STREET,RM,22544,5,1915,981688,200910
2,7700,11 JAY STREET,RM,10589,5,1920,981581,200942
2,7700,11 HARRISON STREET,RM,14486,7,1915,981574,201045
2,7700,17 JAY STREET,R1,1000,5,1920,981507,200956
2,7700,13 HARRISON STREET,RM,11428,4.5,1920,981549,201049
2,7700,345 GREENWICH STREET,RM,29031,6,1920,981452,201022
2,7700,339 GREENWICH STREET,RM,51010,7,1915,981431,200960
2,7700,77 HUDSON STREET,RM,9994,6,1910,981728,201035
2,7700,5 HARRISON STREET,RM,15330,6,2000,981683,201051
2,7700,349 GREENWICH STREET,RM,22047,6,1920,981449,201068
2,7700,7 HARRISON STREET,RM,31071,8,1900,981612,201038
2,7700,10 HARRISON STREET,L9,12400,6,1920,981636,201194
2,7700,14 HARRISON STREET,D4,15600,6,1915,981582,201201
2,7700,18 HARRISON STREET,O2,7800,5,1915,981554,201205
2,7700,20 HARRISON STREET,S2,6500,4,1899,981534,201207
2,7700,369 GREENWICH STREET,O5,7687,5,1920,981473,201337
2,7700,187 FRANKLIN STREET,A9,3863,5,1992,981523,201331
2,7700,185 FRANKLIN STREET,O2,8430,6,1915,981547,201305
2,7700,181 FRANKLIN STREET,O5,26000,6,1915,981583,201292
2,7700,177 FRANKLIN STREET,O5,12100,6,1920,981623,201287
2,7700,175 FRANKLIN STREET,L8,15244,6,1915,981647,201284
2,7700,173 FRANKLIN STREET,K4,5920,4,1900,981673,201281
2,7700,22 HARRISON STREET,S1,4500,4,1915,981512,201190
2,7700,24 HARRISON STREET,L9,5999,4,1915,981486,201194
2,7700,355 GREENWICH STREET,RM,17135,5,1915,981446,201212
2,7700,363 GREENWICH STREET,RM,29305,4,1915,981486,201284
2,7700,6 HARRISON STREET,RC,38213,8.5,1915,981724,201177
2,7700,93 HUDSON STREET,RB,133010,16,1930,981735,201266
2,7700,12 HARRISON STREET,RM,9343,6,1920,981612,201198
2,7700,8 HARRISON STREET,RM,11294,5,1915,981661,201191
2,7700,        MARGINAL STREET,T2,168830,2,1940,980211,201720
2,7700,        MARGINAL STREET,T2,98000,1,1900,980261,202047
2,7700,178 FRANKLIN STREET,D4,16568,6,1915,981664,201434
2,7700,182 FRANKLIN STREET,L9,8490,5,1915,981636,201438
2,7700,184 FRANKLIN STREET,C7,9214,6,1901,981615,201440
2,7700,186 FRANKLIN STREET,D5,24700,6,1921,981579,201444
2,7700,377 GREENWICH STREET,H1,75533,7,2005,981514,201537
2,7700,56 NORTH MOORE STREET,G1,41067,5,1940,981665,201524
2,7700,117 HUDSON STREET,D7,35600,6,1915,981766,201529
2,7700,105 HUDSON STREET,D0,89724,11,1920,981755,201419
2,7700,375 GREENWICH STREET,RB,50240,8,1956,981503,201449
2,7700,64 NORTH MOORE STREET,RM,21929,5,1910,981590,201532
2,7700,111 HUDSON STREET,RM,27866,6,1910,981765,201480
2,7700,176 FRANKLIN STREET,RM,6189,3,1915,981692,201431
2,7700,55 NORTH MOORE STREET,D4,23700,6,1915,981711,201671
2,7700,385 GREENWICH STREET,S2,6217,4,1920,981517,201663
2,7700,65 NORTH MOORE STREET,RM,34723,6,1915,981609,201683
2,7700,62 BEACH STREET,RM,76176,8,1915,981543,201745
2,7700,53 NORTH MOORE STREET,RM,102511,6,1910,981794,201705
2,7700,61 NORTH MOORE STREET,R1,23266,7,1915,981659,201677
2,7700,48 BEACH STREET,R4,70758,7,1930,981674,201765
2,7700,144 FRANKLIN STREET,C6,22827,7,1915,982151,201370
2,7700,148 FRANKLIN STREET,D4,24000,7,1915,982111,201375
2,7700,156 FRANKLIN STREET,D4,14460,7,1910,982029,201386
2,7700,160 FRANKLIN STREET,S5,11628,6,1915,981978,201392
2,7700,118 HUDSON STREET,D7,22950,6,1915,981943,201514
2,7700,42 NORTH MOORE STREET,D2,12200,6,1921,981991,201484
2,7700,34 NORTH MOORE STREET,D0,28500,7,1910,982080,201473
2,7700,28 NORTH MOORE STREET,D5,21400,7,1915,982146,201465
2,7700,26 NORTH MOORE STREET,G1,1606,1,1920,982175,201461
2,7700,20 NORTH MOORE STREET,D4,60600,9,1921,982220,201456
2,7700,18 NORTH MOORE STREET,C7,7715,5,1910,982268,201456
2,7700,16 NORTH MOORE STREET,C4,9550,5,1910,982294,201453
2,7700,10 NORTH MOORE STREET,Y1,6093,3,1920,982421,201436
2,7700,232 WEST BROADWAY,A4,10916,6,1915,982498,201439
2,7700,228 WEST BROADWAY,S5,14892,6,1915,982456,201436
2,7700,226 WEST BROADWAY,A9,5235,4,1915,982455,201384
2,7700,220 WEST BROADWAY,RM,21260,10,1915,982423,201339
2,7700,110 HUDSON STREET,RX,38012,10,1921,981926,201389
2,7700,32 NORTH MOORE STREET,RM,11565,7,1950,982115,201469
2,7700,158 FRANKLIN STREET,RM,12797,6,1920,982004,201389
2,7700,112 HUDSON STREET,RM,7215,6,1915,981932,201434
2,7700,152 FRANKLIN STREET,RM,24144,7,0,982066,201381
2,7700,140 FRANKLIN STREET,RM,70189,65,1910,982235,201363
2,7700,38 NORTH MOORE STREET,RM,25015,6,1915,982030,201480
2,7700,114 HUDSON STREET,RM,13860,7,2004,981937,201467
2,7700,122 HUDSON STREET,O2,17000,6,1915,981961,201610
2,7700,14 BEACH STREET,Y2,23300,3,1915,982285,201682
2,7700,10 BEACH STREET,D4,11834,6,1915,982507,201643
2,7700,8 BEACH STREET,S9,14886,8,1915,982532,201634
2,7700,248 WEST BROADWAY,L9,35057,8,1915,982582,201616
2,7700,246 WEST BROADWAY,O5,2350,4,1910,982589,201577
2,7700,7 NORTH MOORE STREET,Y6,3393,3,1960,982517,201560
2,7700,39 NORTH MOORE STREET,RM,32426,6,1909,982049,201672
2,7700,9 NORTH MOORE STREET,RM,3041,6,1893,982496,201563
2,7700,31 NORTH MOORE STREET,RM,82955,8,1915,982135,201612
2,7700,27 NORTH MOORE STREET,RM,158730,14,1905,982180,201670
2,7700,25 NORTH MOORE STREET,RM,111829,17,1924,982272,201593
2,7700,124 HUDSON STREET,RM,81306,9,2000,981980,201701
2,7700,41 NORTH MOORE STREET,RM,7177,6,1910,982019,201625
2,7700,240 WEST BROADWAY,R1,21741,11,2008,982556,201553
2,7700,11 NORTH MOORE STREET,R4,59134,9,2013,982459,201619
2,7700,2 AVENUE OF THE AMER,HB,133895,8,1999,982907,201358
2,7700,8 WHITE STREET,C6,15538,5,1915,982691,201382
2,7700,4 WHITE STREET,D7,19920,6,1915,982652,201401
2,7700,2 WHITE STREET,S1,1660,2,1915,982618,201406
2,7700,241 WEST BROADWAY,L9,18719,6,1915,982686,201447
2,7700,245 WEST BROADWAY,M1,2738,2,1960,982704,201469
2,7700,247 WEST BROADWAY,S3,10800,4,1920,982717,201483
2,7700,23 AVENUE OF THE AMER,K4,11700,3,1950,982726,201520
2,7700,11 AVENUE OF THE AMER,K2,1895,2,1920,982755,201428
2,7700,12 WHITE STREET,R1,10811,6,1977,982722,201372
2,7700,16 WALKER STREET,O4,1092665,26,1913,982965,201592
2,7700,62 WHITE STREET,D1,24499,6,1869,983324,201014
2,7700,60 WHITE STREET,D7,24102,6,1920,983284,201038
2,7700,54 WHITE STREET,D0,21600,5,1915,983222,201073
2,7700,52 WHITE STREET,D4,13400,5,1915,983188,201091
2,7700,50 WHITE STREET,D4,19600,5,1921,983159,201108
2,7700,44 WHITE STREET,L9,12500,5,1915,983099,201144
2,7700,40 WHITE STREET,C6,9195,5,1910,983050,201159
2,7700,38 WHITE STREET,C8,17000,5,1915,983050,201207
