X,Y,FGA-bin,FG%,FGM,FGA,FG%-bin
26,9,1-10,100,3,3,91-100
26,8,11-20,70,12,17,61-70
26,6,21-30,79,23,29,71-80
26,31,1-10,33,1,3,31-40
26,27,1-10,100,1,1,91-100
26,5,1-10,0,0,1,1-10
26,24,1-10,0,0,1,1-10
26,12,1-10,100,2,2,91-100
26,23,1-10,50,1,2,41-50
26,32,1-10,50,1,2,41-50
25,7,71-80,85,68,80,81-90
25,6,91-100,83,82,98,81-90
25,31,1-10,12,1,8,11-20
25,8,21-30,69,18,26,61-70
25,9,1-10,33,1,3,31-40
25,11,1-10,100,5,5,91-100
25,5,1-10,100,6,6,91-100
25,28,1-10,0,0,1,1-10
25,15,1-10,100,2,2,91-100
25,21,1-10,50,1,2,41-50
25,12,1-10,100,2,2,91-100
25,10,1-10,66,2,3,61-70
25,32,1-10,50,1,2,41-50
25,18,1-10,50,1,2,41-50
25,25,1-10,100,1,1,91-100
25,14,1-10,50,1,2,41-50
25,13,1-10,0,0,1,1-10
25,30,1-10,0,0,1,1-10
25,22,1-10,0,0,1,1-10
32,10,1-10,60,3,5,51-60
32,25,1-10,50,1,2,41-50
32,15,1-10,50,1,2,41-50
32,32,1-10,0,0,1,1-10
32,6,1-10,0,0,1,1-10
32,9,1-10,0,0,1,1-10
32,14,1-10,0,0,1,1-10
32,23,1-10,100,1,1,91-100
32,30,1-10,0,0,2,1-10
32,16,1-10,0,0,1,1-10
32,19,1-10,100,1,1,91-100
32,29,1-10,0,0,1,1-10
32,12,1-10,100,1,1,91-100
32,33,1-10,0,0,1,1-10
8,25,1-10,40,2,5,31-40
8,4,1-10,0,0,1,1-10
8,9,1-10,0,0,2,1-10
8,6,1-10,100,1,1,91-100
8,15,1-10,0,0,3,1-10
8,18,1-10,66,2,3,61-70
8,24,1-10,100,1,1,91-100
8,19,1-10,100,1,1,91-100
8,38,1-10,0,0,1,1-10
8,8,1-10,100,1,1,91-100
8,27,1-10,50,1,2,41-50
8,20,1-10,0,0,1,1-10
19,10,1-10,0,0,1,1-10
19,9,1-10,33,1,3,31-40
19,24,1-10,50,1,2,41-50
19,13,1-10,50,1,2,41-50
19,8,1-10,0,0,1,1-10
19,22,1-10,0,0,1,1-10
19,32,1-10,100,1,1,91-100
19,12,1-10,66,2,3,61-70
19,31,1-10,0,0,1,1-10
19,30,1-10,0,0,1,1-10
41,6,1-10,0,0,2,1-10
41,26,1-10,66,2,3,61-70
41,20,1-10,50,1,2,41-50
41,7,1-10,40,2,5,31-40
41,12,1-10,0,0,1,1-10
41,25,1-10,25,1,4,21-30
41,8,1-10,0,0,1,1-10
41,24,1-10,100,1,1,91-100
41,18,1-10,100,1,1,91-100
41,5,1-10,0,0,1,1-10
41,28,1-10,100,1,1,91-100
41,17,1-10,0,0,1,1-10
41,16,1-10,50,1,2,41-50
36,15,1-10,100,1,1,91-100
36,21,1-10,50,1,2,41-50
36,27,1-10,100,1,1,91-100
36,29,1-10,33,2,6,31-40
36,23,1-10,0,0,1,1-10
36,7,1-10,0,0,1,1-10
36,10,1-10,50,1,2,41-50
36,20,1-10,0,0,2,1-10
36,11,1-10,100,1,1,91-100
36,22,1-10,0,0,1,1-10
36,19,1-10,0,0,1,1-10
36,26,1-10,0,0,2,1-10
36,25,1-10,0,0,1,1-10
36,17,1-10,100,1,1,91-100
36,8,1-10,100,1,1,91-100
33,10,1-10,50,1,2,41-50
33,11,1-10,0,0,2,1-10
33,8,1-10,50,1,2,41-50
33,9,1-10,50,1,2,41-50
33,19,1-10,0,0,1,1-10
33,23,1-10,50,1,2,41-50
33,24,1-10,0,0,2,1-10
33,31,1-10,0,0,1,1-10
33,27,1-10,0,0,2,1-10
33,7,1-10,0,0,1,1-10
33,5,1-10,100,1,1,91-100
33,21,1-10,0,0,1,1-10
33,6,1-10,100,1,1,91-100
33,14,1-10,100,1,1,91-100
33,20,1-10,50,1,2,41-50
30,25,1-10,33,1,3,31-40
30,32,1-10,50,1,2,41-50
30,23,1-10,100,1,1,91-100
30,9,1-10,100,2,2,91-100
30,13,1-10,100,1,1,91-100
30,10,1-10,0,0,1,1-10
30,8,1-10,100,1,1,91-100
30,30,1-10,0,0,3,1-10
30,20,1-10,0,0,1,1-10
30,31,1-10,0,0,1,1-10
30,11,1-10,0,0,1,1-10
30,6,1-10,100,1,1,91-100
30,22,1-10,0,0,1,1-10
30,7,1-10,0,0,1,1-10
30,26,1-10,0,0,1,1-10
30,16,1-10,0,0,1,1-10
20,9,1-10,66,2,3,61-70
20,10,1-10,33,1,3,31-40
20,15,1-10,0,0,1,1-10
20,13,1-10,100,1,1,91-100
20,21,1-10,0,0,1,1-10
20,12,1-10,50,1,2,41-50
20,34,1-10,0,0,1,1-10
20,7,1-10,100,1,1,91-100
20,8,1-10,100,2,2,91-100
40,18,1-10,0,0,1,1-10
40,8,1-10,0,0,2,1-10
40,28,1-10,50,1,2,41-50
40,26,1-10,80,4,5,71-80
40,16,1-10,0,0,1,1-10
40,27,1-10,0,0,2,1-10
40,6,1-10,66,2,3,61-70
40,32,1-10,0,0,1,1-10
40,12,1-10,0,0,1,1-10
40,17,1-10,100,2,2,91-100
40,21,1-10,100,1,1,91-100
40,10,1-10,33,2,6,31-40
40,25,1-10,75,3,4,71-80
40,7,1-10,100,1,1,91-100
40,11,1-10,33,1,3,31-40
40,15,1-10,100,1,1,91-100
40,19,1-10,100,1,1,91-100
40,20,1-10,100,1,1,91-100
40,35,1-10,0,0,2,1-10
40,14,1-10,100,1,1,91-100
14,22,1-10,0,0,2,1-10
14,9,1-10,0,0,1,1-10
14,21,1-10,0,0,1,1-10
14,32,1-10,0,0,1,1-10
14,29,1-10,75,3,4,71-80
14,17,1-10,0,0,1,1-10
14,23,1-10,0,0,1,1-10
14,20,1-10,50,1,2,41-50
14,28,1-10,100,1,1,91-100
14,8,1-10,0,0,1,1-10
12,38,1-10,0,0,1,1-10
12,28,1-10,50,1,2,41-50
12,12,1-10,100,1,1,91-100
12,17,1-10,0,0,1,1-10
12,29,1-10,25,1,4,21-30
12,6,1-10,0,0,1,1-10
12,20,1-10,100,1,1,91-100
12,19,1-10,33,1,3,31-40
12,23,1-10,0,0,1,1-10
12,22,1-10,0,0,1,1-10
12,24,1-10,0,0,1,1-10
12,31,1-10,100,1,1,91-100
12,27,1-10,0,0,3,1-10
35,12,1-10,100,3,3,91-100
35,20,1-10,100,1,1,91-100
35,10,1-10,33,1,3,31-40
35,11,1-10,0,0,1,1-10
35,23,1-10,0,0,2,1-10
35,8,1-10,0,0,3,1-10
35,29,1-10,0,0,1,1-10
35,21,1-10,100,2,2,91-100
35,9,1-10,100,1,1,91-100
35,30,1-10,100,2,2,91-100
35,22,1-10,0,0,1,1-10
35,32,1-10,0,0,2,1-10
35,7,1-10,0,0,2,1-10
35,25,1-10,0,0,1,1-10
35,13,1-10,0,0,1,1-10
35,14,1-10,0,0,1,1-10
35,28,1-10,0,0,1,1-10
35,44,1-10,0,0,1,1-10
35,6,1-10,0,0,1,1-10
9,20,1-10,50,1,2,41-50
9,10,1-10,50,1,2,41-50
9,6,1-10,0,0,1,1-10
9,7,1-10,0,0,1,1-10
9,27,1-10,0,0,2,1-10
9,29,1-10,100,1,1,91-100
9,9,1-10,0,0,2,1-10
9,26,1-10,0,0,2,1-10
9,25,1-10,33,1,3,31-40
9,8,1-10,100,1,1,91-100
9,19,1-10,100,1,1,91-100
9,13,1-10,0,0,1,1-10
9,12,1-10,0,0,1,1-10
9,11,1-10,0,0,1,1-10
9,18,1-10,100,2,2,91-100
17,12,1-10,0,0,1,1-10
17,7,1-10,100,2,2,91-100
17,30,1-10,0,0,1,1-10
17,19,1-10,0,0,2,1-10
17,20,1-10,0,0,1,1-10
17,8,1-10,50,1,2,41-50
17,11,1-10,0,0,1,1-10
17,10,1-10,0,0,1,1-10
44,6,1-10,100,1,1,91-100
44,21,1-10,40,2,5,31-40
44,42,1-10,0,0,2,1-10
44,23,1-10,100,1,1,91-100
44,7,1-10,100,1,1,91-100
44,24,1-10,50,1,2,41-50
44,11,1-10,0,0,1,1-10
44,8,1-10,100,1,1,91-100
44,22,1-10,100,1,1,91-100
44,26,1-10,0,0,1,1-10
44,15,1-10,100,1,1,91-100
28,8,1-10,75,3,4,71-80
28,10,1-10,100,1,1,91-100
28,11,1-10,66,2,3,61-70
28,7,1-10,57,4,7,51-60
28,22,1-10,0,0,1,1-10
28,30,1-10,100,1,1,91-100
28,23,1-10,0,0,1,1-10
28,6,1-10,60,3,5,51-60
28,9,1-10,100,2,2,91-100
28,13,1-10,100,1,1,91-100
34,21,1-10,66,2,3,61-70
34,23,1-10,20,1,5,11-20
34,27,1-10,100,2,2,91-100
34,7,1-10,100,2,2,91-100
34,8,1-10,0,0,1,1-10
34,9,1-10,50,1,2,41-50
34,29,1-10,100,1,1,91-100
34,20,1-10,50,1,2,41-50
34,24,1-10,50,1,2,41-50
34,19,1-10,0,0,1,1-10
34,10,1-10,100,2,2,91-100
34,32,1-10,0,0,1,1-10
34,12,1-10,100,1,1,91-100
34,25,1-10,0,0,2,1-10
34,6,1-10,100,1,1,91-100
34,26,1-10,0,0,1,1-10
6,23,1-10,16,1,6,11-20
6,8,1-10,0,0,1,1-10
6,24,1-10,16,1,6,11-20
6,14,1-10,33,1,3,31-40
6,7,1-10,50,1,2,41-50
6,9,1-10,0,0,1,1-10
6,22,1-10,100,1,1,91-100
6,26,1-10,0,0,1,1-10
6,17,1-10,0,0,1,1-10
6,11,1-10,0,0,1,1-10
39,29,1-10,33,1,3,31-40
39,17,1-10,0,0,1,1-10
39,8,1-10,25,1,4,21-30
39,22,1-10,100,1,1,91-100
39,16,1-10,50,1,2,41-50
39,21,1-10,0,0,1,1-10
39,9,1-10,0,0,4,1-10
39,26,1-10,0,0,1,1-10
39,18,1-10,25,1,4,21-30
39,7,1-10,100,1,1,91-100
39,27,1-10,33,1,3,31-40
39,20,1-10,0,0,1,1-10
39,13,1-10,100,1,1,91-100
39,14,1-10,33,1,3,31-40
39,10,1-10,0,0,1,1-10
39,6,1-10,0,0,1,1-10
39,28,1-10,100,2,2,91-100
39,25,1-10,100,1,1,91-100
39,23,1-10,0,0,1,1-10
39,12,1-10,0,0,1,1-10
1,8,1-10,75,3,4,71-80
1,7,1-10,0,0,1,1-10
1,6,1-10,100,2,2,91-100
1,10,1-10,66,2,3,61-70
1,12,1-10,100,1,1,91-100
1,13,1-10,100,1,1,91-100
1,9,1-10,0,0,1,1-10
1,4,1-10,0,0,1,1-10
37,30,1-10,0,0,1,1-10
37,27,1-10,100,2,2,91-100
37,22,1-10,50,2,4,41-50
37,15,1-10,50,1,2,41-50
37,8,1-10,100,2,2,91-100
37,23,1-10,0,0,1,1-10
37,7,1-10,50,1,2,41-50
37,29,1-10,50,1,2,41-50
37,28,1-10,66,2,3,61-70
37,21,1-10,0,0,3,1-10
37,14,1-10,66,2,3,61-70
37,19,1-10,100,1,1,91-100
37,24,1-10,0,0,2,1-10
37,17,1-10,0,0,1,1-10
37,25,1-10,0,0,1,1-10
37,16,1-10,0,0,2,1-10
37,9,1-10,100,1,1,91-100
37,32,1-10,0,0,1,1-10
11,26,1-10,0,0,2,1-10
11,8,1-10,100,1,1,91-100
11,28,1-10,50,2,4,41-50
11,29,1-10,33,1,3,31-40
11,15,1-10,0,0,1,1-10
11,20,1-10,0,0,1,1-10
11,23,1-10,0,0,1,1-10
11,27,1-10,25,1,4,21-30
11,17,1-10,0,0,2,1-10
11,19,1-10,100,1,1,91-100
11,12,1-10,0,0,1,1-10
11,9,1-10,0,0,1,1-10
11,18,1-10,0,0,2,1-10
11,21,1-10,0,0,2,1-10
11,13,1-10,0,0,1,1-10
11,16,1-10,0,0,1,1-10
27,12,1-10,0,0,2,1-10
27,30,1-10,0,0,1,1-10
27,13,1-10,0,0,2,1-10
27,6,11-20,68,11,16,61-70
27,7,11-20,85,12,14,81-90
27,8,1-10,75,6,8,71-80
27,32,1-10,0,0,1,1-10
27,33,1-10,50,1,2,41-50
27,9,1-10,40,2,5,31-40
27,10,1-10,0,0,1,1-10
27,31,1-10,0,0,2,1-10
27,25,1-10,0,0,1,1-10
27,5,1-10,100,1,1,91-100
27,19,1-10,100,1,1,91-100
27,24,1-10,0,0,1,1-10
38,21,1-10,50,1,2,41-50
38,12,1-10,100,1,1,91-100
38,22,1-10,33,1,3,31-40
38,10,1-10,50,1,2,41-50
38,28,1-10,100,1,1,91-100
38,7,1-10,0,0,2,1-10
38,30,1-10,0,0,3,1-10
38,17,1-10,50,1,2,41-50
38,29,1-10,100,1,1,91-100
38,19,1-10,33,1,3,31-40
38,15,1-10,50,1,2,41-50
38,8,1-10,100,1,1,91-100
38,33,1-10,0,0,1,1-10
38,27,1-10,14,1,7,11-20
38,13,1-10,0,0,1,1-10
38,6,1-10,100,1,1,91-100
38,16,1-10,100,1,1,91-100
38,9,1-10,100,1,1,91-100
38,26,1-10,0,0,1,1-10
15,25,1-10,100,1,1,91-100
15,31,1-10,0,0,1,1-10
15,24,1-10,33,1,3,31-40
15,12,1-10,50,1,2,41-50
15,20,1-10,0,0,1,1-10
15,30,1-10,33,1,3,31-40
15,21,1-10,0,0,1,1-10
15,22,1-10,0,0,2,1-10
15,9,1-10,0,0,1,1-10
15,17,1-10,0,0,1,1-10
15,19,1-10,100,1,1,91-100
15,29,1-10,0,0,1,1-10
21,28,1-10,0,0,2,1-10
21,9,1-10,100,2,2,91-100
21,31,1-10,33,1,3,31-40
21,8,1-10,100,2,2,91-100
21,7,1-10,100,1,1,91-100
21,11,1-10,100,2,2,91-100
21,29,1-10,0,0,1,1-10
45,21,1-10,75,3,4,71-80
45,22,1-10,50,1,2,41-50
45,19,1-10,0,0,2,1-10
45,20,1-10,20,1,5,11-20
45,26,1-10,100,1,1,91-100
45,27,1-10,100,1,1,91-100
45,6,1-10,0,0,2,1-10
45,14,1-10,66,2,3,61-70
45,8,1-10,0,0,1,1-10
45,18,1-10,0,0,1,1-10
45,11,1-10,100,1,1,91-100
45,25,1-10,0,0,1,1-10
45,12,1-10,0,0,1,1-10
47,18,1-10,0,0,3,1-10
47,3,1-10,100,1,1,91-100
47,19,1-10,50,1,2,41-50
47,6,1-10,0,0,1,1-10
47,7,1-10,0,0,1,1-10
47,4,1-10,100,1,1,91-100
47,16,1-10,100,1,1,91-100
47,17,1-10,100,1,1,91-100
31,30,1-10,60,3,5,51-60
31,16,1-10,0,0,2,1-10
31,28,1-10,100,1,1,91-100
31,17,1-10,100,1,1,91-100
31,8,1-10,66,2,3,61-70
31,11,1-10,60,3,5,51-60
31,7,1-10,0,0,1,1-10
31,24,1-10,0,0,1,1-10
31,12,1-10,100,3,3,91-100
31,10,1-10,25,1,4,21-30
31,23,1-10,100,1,1,91-100
31,9,1-10,60,3,5,51-60
31,32,1-10,100,1,1,91-100
18,25,1-10,50,1,2,41-50
18,8,1-10,0,0,1,1-10
18,30,1-10,50,1,2,41-50
18,31,1-10,50,1,2,41-50
18,17,1-10,100,3,3,91-100
18,21,1-10,0,0,1,1-10
18,12,1-10,100,1,1,91-100
18,46,1-10,0,0,1,1-10
18,14,1-10,100,1,1,91-100
18,24,1-10,0,0,1,1-10
13,28,1-10,50,1,2,41-50
13,5,1-10,0,0,1,1-10
13,13,1-10,50,1,2,41-50
13,7,1-10,0,0,1,1-10
13,34,1-10,0,0,1,1-10
13,30,1-10,50,1,2,41-50
13,29,1-10,0,0,1,1-10
13,19,1-10,100,1,1,91-100
13,16,1-10,0,0,1,1-10
13,24,1-10,33,1,3,31-40
13,27,1-10,100,1,1,91-100
13,20,1-10,0,0,1,1-10
13,22,1-10,100,1,1,91-100
13,23,1-10,0,0,1,1-10
42,26,1-10,50,1,2,41-50
42,21,1-10,100,1,1,91-100
42,23,1-10,0,0,3,1-10
42,17,1-10,100,1,1,91-100
42,15,1-10,0,0,2,1-10
42,7,1-10,33,1,3,31-40
42,16,1-10,66,2,3,61-70
42,24,1-10,22,2,9,21-30
42,6,1-10,100,1,1,91-100
42,31,1-10,0,0,1,1-10
42,25,1-10,100,3,3,91-100
42,12,1-10,0,0,1,1-10
42,8,1-10,100,1,1,91-100
42,18,1-10,100,1,1,91-100
42,9,1-10,0,0,2,1-10
42,14,1-10,100,1,1,91-100
42,10,1-10,100,1,1,91-100
43,22,1-10,50,2,4,41-50
43,9,1-10,50,1,2,41-50
43,12,1-10,100,1,1,91-100
43,17,1-10,0,0,1,1-10
43,15,1-10,100,1,1,91-100
43,23,1-10,0,0,2,1-10
43,4,1-10,100,1,1,91-100
43,11,1-10,100,1,1,91-100
43,8,1-10,100,1,1,91-100
43,6,1-10,0,0,1,1-10
43,25,1-10,0,0,1,1-10
43,18,1-10,50,1,2,41-50
43,24,1-10,0,0,2,1-10
29,9,1-10,50,2,4,41-50
29,6,1-10,100,1,1,91-100
29,7,1-10,25,1,4,21-30
29,46,1-10,0,0,1,1-10
29,32,1-10,0,0,2,1-10
29,42,1-10,0,0,3,1-10
29,8,1-10,0,0,1,1-10
29,15,1-10,0,0,1,1-10
29,30,1-10,0,0,1,1-10
29,26,1-10,0,0,1,1-10
29,10,1-10,100,1,1,91-100
3,18,1-10,0,0,2,1-10
3,19,1-10,25,1,4,21-30
16,30,1-10,0,0,5,1-10
16,18,1-10,50,1,2,41-50
16,26,1-10,0,0,1,1-10
16,29,1-10,100,1,1,91-100
16,20,1-10,33,1,3,31-40
16,10,1-10,100,1,1,91-100
16,24,1-10,50,1,2,41-50
16,15,1-10,100,1,1,91-100
46,20,1-10,100,1,1,91-100
46,18,1-10,100,1,1,91-100
46,24,1-10,0,0,1,1-10
46,11,1-10,100,1,1,91-100
46,22,1-10,100,1,1,91-100
46,21,1-10,0,0,1,1-10
46,19,1-10,0,0,2,1-10
46,17,1-10,0,0,1,1-10
10,27,1-10,28,2,7,21-30
10,13,1-10,100,1,1,91-100
10,16,1-10,25,1,4,21-30
10,26,1-10,0,0,1,1-10
10,28,1-10,0,0,1,1-10
10,10,1-10,0,0,1,1-10
10,23,1-10,100,1,1,91-100
10,12,1-10,0,0,1,1-10
10,15,1-10,100,1,1,91-100
10,33,1-10,0,0,1,1-10
7,25,1-10,0,0,2,1-10
7,9,1-10,50,1,2,41-50
7,24,1-10,50,1,2,41-50
7,6,1-10,100,2,2,91-100
7,17,1-10,0,0,1,1-10
7,13,1-10,100,1,1,91-100
7,12,1-10,100,1,1,91-100
7,10,1-10,0,0,1,1-10
7,23,1-10,100,1,1,91-100
4,19,1-10,100,2,2,91-100
4,20,1-10,100,1,1,91-100
4,21,1-10,66,2,3,61-70
4,22,1-10,100,1,1,91-100
4,8,1-10,0,0,1,1-10
4,13,1-10,0,0,2,1-10
4,10,1-10,0,0,1,1-10
5,22,1-10,25,1,4,21-30
5,21,1-10,50,2,4,41-50
5,5,1-10,100,1,1,91-100
5,23,1-10,50,1,2,41-50
5,12,1-10,100,1,1,91-100
5,24,1-10,0,0,1,1-10
5,15,1-10,0,0,1,1-10
0,7,1-10,0,0,1,1-10
