x,y,z,QCLOUD,QGRAUP,QICE,QRAIN,QSNOW,QVAPOR,CLOUD,PRECIP,P,TC,U,V,W,Velocity
390,90,0,0,0,0,0,0,0.016843,0,0,1054.115112,26.830687,-2.933027,-7.921178,-0.002662,8.446758
420,90,0,0,0,0,0,0,0.017173,0,0,1010.810913,27.641869,-3.870759,-4.677418,0.001037,6.071327
450,90,0,0,0,0,0.000125,0,0.017574,0,0.000125,1013.557068,25.789795,-3.086997,0.622288,-0.025102,3.149194
480,90,0,0,0,0,0.000002,0,0.019089,0,0.000002,966.056946,27.828625,-0.323809,-0.131159,0.009541,0.349494
0,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
240,120,0,0,0,0,0,0,0.014673,0,0,1195.547241,24.535778,-5.033525,-15.31118,-0.002147,16.117338
270,120,0,0,0,0,0,0,0.016167,0,0,1058.765259,25.331938,-3.175737,-15.671137,-0.003746,15.98968
300,120,0,0,0,0,0.000136,0,0.017078,0,0.000136,975.498169,25.465677,-0.328192,-15.418581,0.007377,15.422075
330,120,0,0,0,0,0,0,0.017442,0,0,931.340027,26.051798,0.249504,-13.801267,-0.00105,13.803522
360,120,0,0,0,0,0.000026,0,0.017854,0,0.000026,978.257446,26.473747,2.468632,-9.313362,0.058352,9.635158
390,120,0,0,0,0,0,0,0.016849,0,0,966.686462,27.047215,1.221737,-6.880002,0.001033,6.987637
420,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
450,120,0,0,0,0,0,0,0.017854,0,0,966.902527,28.580338,-2.114449,-4.896921,0.008072,5.333929
480,120,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
120,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
150,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
210,150,0,0,0,0,0,0,0.01556,0,0,1124.706543,22.924391,-3.219006,-13.363662,0.001782,13.745889
240,150,0,0,0,0,0,0,0.017629,0,0,825.720459,25.014393,-4.498856,-17.291939,0.001423,17.867592
270,150,0,0,0,0,0,0,0.016947,0,0,685.522827,25.94672,-0.736116,-20.272758,-0.004154,20.286119
300,150,0,0,0,0,0,0,0.016956,0,0,652.17511,26.330751,3.6776,-18.611086,-0.0214,18.97097
330,150,0,0,0,0,0,0,0.017447,0,0,733.204163,26.626007,4.519587,-14.646767,-0.003146,15.328224
360,150,0,0,0,0,0,0,0.018046,0,0,825.903137,26.943396,5.34044,-9.851197,0.001942,11.205641
390,150,0,0,0,0,0.000042,0,0.017462,0,0.000042,899.232483,27.109554,3.08809,-6.621103,0.000449,7.30584
420,150,0,0,0,0,0,0,0.017707,0,0,932.599731,27.806236,1.518419,-6.048304,0.007143,6.235994
450,150,0,0,0,0,0.000363,0,0.018806,0,0.000363,929.718384,26.602732,-7.192858,1.628305,0.015193,7.374877
480,150,0,0,0,0,0,0,0.019732,0,0,958.607849,27.357056,3.208472,0.544053,-0.010408,3.254289
0,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,180,0,0,0,0,0,0,0.009151,0,0,2074.360107,20.63122,-7.142449,-5.620092,-0.006019,9.088457
120,180,0,0,0,0,0.000004,0,0.013545,0,0.000004,1827.694702,21.010914,-9.2205,-10.066012,0.000555,13.650723
150,180,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
180,180,0,0,0,0,0.000008,0,0.016335,0,0.000008,1224.665039,24.329681,-6.285424,-8.278828,0.001121,10.394496
210,180,0,0,0,0,0.000001,0,0.01638,0,0.000001,850.445313,25.779451,-13.296932,-15.53382,0.010915,20.447691
240,180,0,0,0,0,0.000078,0,0.017724,0,0.000078,409.125732,25.960117,-10.518575,-22.331244,-0.002256,24.684505
270,180,0,0,0,0,0.000065,0,0.017991,0,0.000065,-40.262165,26.186031,1.150237,-27.125839,-0.002458,27.150215
300,180,0,0,0,0,0,0,0.018409,0,0,-4.441142,26.805433,10.418806,-22.120739,0.001351,24.451557
330,180,0,0,0,0,0.000161,0,0.01709,0,0.000161,369.605255,26.873026,11.394444,-14.526494,0.006087,18.462189
360,180,0,0,0,0,0.000001,0,0.01751,0,0.000001,620.284363,27.493498,10.714569,-9.255148,0.012183,14.158386
390,180,0,0,0,0,0,0,0.017059,0,0,793.861633,27.828125,7.810918,-5.21309,0.004378,9.390781
420,180,0,0,0,0,0,0,0.017069,0,0,868.327271,28.067421,4.399579,-4.476234,0.006808,6.276385
450,180,0,0,0,0,0,0,0.017823,0,0,928.939514,28.216366,0.332719,-2.22876,0.004527,2.253463
480,180,0,0,0,0,0,0,0.018626,0,0,972.297913,28.18692,0.371137,0.234343,-0.014397,0.439166
0,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,210,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
90,210,0,0,0,0,0,0,0.01328,0,0,2030.213379,20.428486,-9.682216,-8.294894,0.002718,12.749532
120,210,0,0,0,0,0,0,0.016583,0,0,1759.490723,22.481951,-10.445875,-5.974701,0.002847,12.033843
150,210,0,0,0,0,0,0,0.016055,0,0,1413.258301,24.865757,-12.309713,-6.389371,-0.006293,13.869143
180,210,0,0,0,0,0,0,0.015757,0,0,1116.151855,25.686165,-16.18771,-8.979383,0.012365,18.511387
210,210,0,0,0,0,0.000124,0,0.017517,0,0.000124,530.702332,25.427835,-16.834578,-17.929958,-0.002529,24.594439
240,210,0,0,0,0,0.00042,0,0.01872,0,0.00042,-471.515717,25.687931,-13.05951,-32.541664,0.000628,35.064381
270,210,0,0,0,0,0.000647,0,0.019058,0,0.000647,-1837.216309,25.627382,9.069642,-43.947517,-0.000734,44.873631
300,210,0,0,0,0,0.000105,0,0.018805,0,0.000105,-1519.479858,26.23978,22.000921,-35.795998,-0.007525,42.01659
330,210,0,0,0,0,0.000003,0,0.017912,0,0.000003,-170.331528,27.347281,24.322451,-10.251772,-0.007237,26.394705
360,210,0,0,0,0,0,0,0.01754,0,0,445.824524,27.389051,15.442357,-5.394998,-0.00135,16.357639
390,210,0,0,0,0,0,0,0.017808,0,0,725.388,27.973286,10.692645,-3.404061,-0.004401,11.221422
420,210,0,0,0,0,0,0,0.017277,0,0,890.927002,28.308971,5.921291,-2.20376,0.00026,6.318089
450,210,0,0,0,0,0,0,0.019422,0,0,946.947571,27.672707,2.724604,1.486853,-0.004172,3.103903
480,210,0,0,0,0,0,0,0.018942,0,0,1005.450562,28.148989,2.917692,1.035627,0.002177,3.096039
0,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
60,240,0,0,0,0,0,0,0.012001,0,0,2223.686523,20.048906,-10.592164,-6.11832,-0.003451,12.232244
90,240,0,0,0,0,0,0,0.016071,0,0,1959.007813,22.000662,-9.459518,-5.423619,0.006216,10.904044
120,240,0,0,0,0,0.000001,0,0.015214,0,0.000001,1721.820435,24.496214,-11.738161,-2.989082,-0.000831,12.112763
150,240,0,0,0,0,0,0,0.015448,0,0,1460.243774,25.494804,-15.449965,-3.874815,0.010138,15.928455
180,240,0,0,0,0,0.000006,0,0.016058,0,0.000006,1047.539185,26.196775,-20.796124,-7.264476,0.00184,22.028421
210,240,0,0,0,0,0.00052,0,0.018425,0,0.00052,312.474152,25.7514,-25.811932,-14.661001,-0.003635,29.685026
240,240,0,0,0,0,0.000401,0,0.019901,0,0.000401,-1276.47937,26.600725,-34.837692,-19.93503,0.012117,40.138142
270,240,0,0,0,0,0,0,0.022071,0,0,-4791.555664,27.456644,-12.220286,4.678,-0.012373,13.085077
300,240,0,0,0,0,0.000187,0,0.020189,0,0.000187,-3467.824951,26.292953,51.301388,-7.707075,0.003202,51.877079
330,240,0,0,0,0,0.000057,0,0.018864,0,0.000057,-592.70166,27.297394,30.457376,4.326108,0.005546,30.763079
360,240,0,0,0,0,0.000027,0,0.018088,0,0.000027,335.743805,27.40567,19.879972,2.647583,-0.00073,20.055498
390,240,0,0,0,0,0,0,0.017504,0,0,703.233765,28.279373,12.017853,0.997141,0.004345,12.05915
420,240,0,0,0,0,0,0,0.018818,0,0,877.406677,27.687344,5.994061,-0.123348,-0.008753,5.995336
450,240,0,0,0,0,0,0,0.019121,0,0,937.258362,28.182596,3.962171,3.387696,0.000298,5.212992
480,240,0,0,0,0,0,0,0.019035,0,0,1008.484131,28.289429,3.884214,2.319211,-0.002866,4.523921
0,270,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,270,0,0,0,0,0,0,0.010211,0,0,2405.835449,19.508181,-10.212144,-3.199947,0.005184,10.701756
60,270,0,0,0,0,0.000006,0,0.013677,0,0.000006,2246.566406,20.306646,-9.733969,-4.548406,-0.004104,10.744215
90,270,0,0,0,0,0,0,0.015848,0,0,1989.40564,24.047205,-9.421598,-0.962,0.002334,9.470585
120,270,0,0,0,0,0,0,0.014536,0,0,1737.751221,25.039402,-11.552807,-1.527431,0.001564,11.653342
150,270,0,0,0,0,0,0,0.014932,0,0,1488.994873,25.92532,-17.116619,-1.758294,-0.002527,17.206692
180,270,0,0,0,0,0.000028,0,0.016771,0,0.000028,1065.237549,26.209415,-21.925577,-3.940008,0.001625,22.276772
210,270,0,0,0,0,0.000474,0,0.019555,0,0.000474,367.890137,26.482824,-27.999008,-5.3232,0.005713,28.500544
240,270,0,0,0,0,0.000081,0,0.019256,0,0.000081,-763.641541,27.242167,-39.157242,9.789721,0.006427,40.362461
270,270,0,0,0,0,0.000676,0,0.019832,0,0.000676,-2573.784424,26.556032,-36.092312,41.344063,-0.00256,54.881569
300,270,0,0,0,0,0.000336,0,0.02037,0,0.000336,-1821.375488,27.066849,10.195971,43.339211,-0.002127,44.522408
330,270,0,0,0,0,0,0,0.01835,0,0,-224.814819,27.673725,19.136734,22.303097,-0.001935,29.387798
360,270,0,0,0,0,0.000008,0,0.018468,0,0.000008,413.332275,27.475826,13.768413,11.387867,-0.000285,17.867643
390,270,0,0,0,0,0.000109,0,0.018392,0,0.000109,789.077209,26.727781,10.342959,6.149723,-0.033972,12.033165
420,270,0,0,0,0,0,0,0.018307,0,0,903.405396,28.392363,7.18115,5.247419,0.00217,8.894062
450,270,0,0,0,0,0,0,0.019295,0,0,976.998657,28.10582,4.690522,5.070054,-0.001048,6.906985
480,270,0,0,0,0,0,0,0.018869,0,0,1071.870361,28.876822,3.905583,4.924563,0.001586,6.285293
0,300,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,300,0,0,0,0,0,0,0.011048,0,0,2463.054443,18.875795,-8.211955,-3.692564,-0.004092,9.003958
60,300,0,0,0,0,0.000001,0,0.015542,0,0.000001,2264.378662,21.520058,-7.73744,-3.018632,0.006157,8.305429
90,300,0,0,0,0,0,0,0.014665,0,0,2058.972412,24.446817,-9.066486,1.105434,-0.003794,9.133629
120,300,0,0,0,0,0,0,0.014182,0,0,1845.799805,25.36414,-12.31369,1.001904,0.001847,12.354383
150,300,0,0,0,0,0,0,0.014889,0,0,1594.055786,26.040035,-17.412477,0.642711,0.003766,17.424335
180,300,0,0,0,0,0,0,0.016494,0,0,1248.778931,26.557535,-22.427732,1.055866,0.001583,22.452572
210,300,0,0,0,0,0.000006,0,0.019059,0,0.000006,802.260681,26.770525,-26.478693,3.757806,-0.005413,26.744013
240,300,0,0,0,0,0.000535,0,0.019641,0,0.000535,276.101929,27.625349,-27.793135,15.468,-0.013554,31.807507
270,300,0,0,0,0,0.000035,0,0.019502,0,0.000035,-188.359741,27.697853,-20.198397,28.549444,0.001725,34.972073
300,300,0,0,0,0,0,0,0.018445,0,0,-102.286072,28.005287,-2.252415,31.050129,0.001426,31.131718
330,300,0,0,0,0,0,0,0.018375,0,0,307.142395,28.294466,5.644052,23.281261,-0.006085,23.955637
360,300,0,0,0,0,0,0,0.018664,0,0,596.25946,27.937679,7.765301,16.930054,0.005364,18.625967
390,300,0,0,0,0,0.00044,0,0.019901,0,0.00044,805.735474,27.30213,7.463929,12.750627,-0.000264,14.774597
420,300,0,0,0,0,0,0,0.019414,0,0,949.674133,28.331861,3.667194,9.787717,-0.012854,10.452171
450,300,0,0,0,0,0.000002,0,0.018717,0,0.000002,1061.707886,27.079344,4.050579,4.262096,-0.017722,5.879878
480,300,0,0,0,0,0,0,0.018748,0,0,1128.128052,29.0679,3.917657,6.894947,0.00112,7.930216
0,330,0,0,0,0,0,0,0.008662,0,0,2468.731445,17.241524,-5.067624,-2.26083,-0.010731,5.549079
30,330,0,0,0,0,0,0,0.011661,0,0,2472.052002,18.558912,-6.852592,-3.814048,0.005463,7.842513
60,330,0,0,0,0,0,0,0.015333,0,0,2278.548828,22.803511,-6.301827,0.220434,0.000412,6.305682
90,330,0,0,0,0,0,0,0.014285,0,0,2124.266357,24.573879,-10.217802,0.318291,-0.003983,10.222759
120,330,0,0,0,0,0,0,0.013883,0,0,1935.668335,25.613377,-11.826716,2.504576,0.010208,12.089012
150,330,0,0,0,0,0,0,0.014426,0,0,1722.410889,25.853554,-15.655186,2.433444,-0.002298,15.843184
180,330,0,0,0,0,0,0,0.016167,0,0,1490.171143,26.257322,-19.659372,3.547234,-0.00635,19.976831
210,330,0,0,0,0,0.000004,0,0.018568,0,0.000004,1093.284058,26.645802,-22.604136,4.69837,0.003793,23.087261
240,330,0,0,0,0,0.000002,0,0.019308,0,0.000002,831.512451,26.940649,-21.722597,11.467441,-0.003949,24.56366
270,330,0,0,0,0,0.000029,0,0.019013,0,0.000029,595.256042,27.807825,-16.313866,19.309723,0.003358,25.278599
300,330,0,0,0,0,0.000124,0,0.019614,0,0.000124,588.858826,27.855738,-10.232989,22.754824,0.04466,24.949911
330,330,0,0,0,0,0.000077,0,0.01945,0,0.000077,640.105469,28.316778,-0.904183,21.973902,-0.015592,21.992502
360,330,0,0,0,0,0,0,0.019383,0,0,833.557556,28.409855,1.399654,15.922024,-0.00575,15.983425
390,330,0,0,0,0,0,0,0.01797,0,0,978.446777,27.905556,1.943592,12.685579,-0.006571,12.83361
420,330,0,0,0,0,0,0,0.019051,0,0,1047.132446,28.802174,3.697408,11.189404,0.005049,11.784466
450,330,0,0,0,0,0.00008,0,0.019132,0,0.00008,1131.164795,28.744637,4.879884,8.4962,0.00074,9.797892
480,330,0,0,0,0,0,0,0.018943,0,0,1186.827881,29.101837,2.670562,7.123801,0.000232,7.60792
0,360,0,0,0,0,0,0,0.009217,0,0,2452.931396,17.288021,-4.217506,-2.531096,-0.013671,4.918739
30,360,0,0,0,0,0,0,0.013747,0,0,2455.795166,19.343199,-5.260857,-3.008482,0.010836,6.060338
60,360,0,0,0,0,0,0,0.015635,0,0,2321.027832,23.0755,-6.062495,-0.134832,-0.003929,6.063995
90,360,0,0,0,0,0,0,0.013314,0,0,2232.780273,24.730412,-8.41918,2.780112,-0.015576,8.866333
120,360,0,0,0,0,0,0,0.01328,0,0,2054.137207,25.322466,-10.751731,2.071716,-0.012153,10.949514
150,360,0,0,0,0,0,0,0.013775,0,0,1890.322144,25.714815,-13.765712,3.277544,0.000074,14.150517
180,360,0,0,0,0,0,0,0.015672,0,0,1674.607056,25.882296,-17.261608,2.829793,-0.002961,17.492022
210,360,0,0,0,0,0.000004,0,0.017075,0,0.000004,1491.329834,26.433704,-18.546682,5.920152,-0.004171,19.468632
240,360,0,0,0,0,0.000001,0,0.019259,0,0.000001,1250.316895,26.717941,-17.824667,9.744831,-0.004873,20.314539
270,360,0,0,0,0,0,0,0.017039,0,0,1172.643188,27.149334,-13.361002,13.949339,-0.000458,19.315807
300,360,0,0,0,0,0,0,0.019106,0,0,1001.370117,28.419674,-9.986125,15.778476,0.016264,18.673063
330,360,0,0,0,0,0.000005,0,0.019886,0,0.000005,994.699951,28.59827,-3.793947,17.358194,0.008465,17.767977
360,360,0,0,0,0,0,0,0.018539,0,0,1039.2323,28.329058,0.477459,15.216924,0.002299,15.224412
390,360,0,0,0,0,0,0,0.019512,0,0,1072.441284,28.396198,-1.158373,13.400105,0.000449,13.450079
420,360,0,0,0,0,0,0,0.018993,0,0,1151.592285,28.571697,1.509301,10.224084,-0.004064,10.334888
450,360,0,0,0,0,0,0,0.019628,0,0,1201.965576,28.811609,1.706003,9.366943,-0.000169,9.521033
480,360,0,0,0,0,0,0,0.019118,0,0,1278.724976,28.802998,1.763862,6.855548,0.00067,7.078824
0,390,0,0,0,0,0,0,0.010356,0,0,2432.452881,18.003759,-2.695643,-2.5203,-0.011292,3.69033
30,390,0,0,0,0,0,0,0.014849,0,0,2462.9375,22.679657,-2.412377,0.918964,0.000233,2.581483
60,390,0,0,0,0,0,0,0.014884,0,0,2385.538574,23.756573,-4.955937,0.628189,-0.003446,4.995593
90,390,0,0,0,0,0,0,0.013438,0,0,2274.942627,24.71319,-8.376749,0.004545,0.001543,8.37675
120,390,0,0,0,0,0.000001,0,0.013043,0,0.000001,2153.039795,25.187887,-9.210256,2.340374,-0.006148,9.502957
150,390,0,0,0,0,0,0,0.013303,0,0,2039.525146,25.432068,-11.230766,3.273202,-0.010012,11.698037
180,390,0,0,0,0,0,0,0.014746,0,0,1891.085449,25.823078,-12.717027,1.914954,0.00459,12.860397
210,390,0,0,0,0,0,0,0.015954,0,0,1730.513062,25.801241,-15.097106,5.140354,-0.013015,15.948229
240,390,0,0,0,0,0.000005,0,0.017376,0,0.000005,1544.348267,26.451609,-14.021327,7.185746,0.002421,15.755397
270,390,0,0,0,0,0,0,0.018268,0,0,1400.9375,27.194216,-13.933426,11.146563,-0.004269,17.84338
300,390,0,0,0,0,0.000039,0,0.016734,0,0.000039,1351.287964,24.504425,-10.222188,10.706543,0.00355,14.802811
330,390,0,0,0,0,0.000286,0,0.019802,0,0.000286,1220.600464,26.923164,-10.471369,11.906159,-0.002151,15.855794
360,390,0,0,0,0,0,0,0.020008,0,0,1240.097534,28.003529,-4.427637,11.586077,-0.004814,12.403273
390,390,0,0,0,0,0.000045,0,0.019952,0,0.000045,1254.869629,27.786854,-0.265874,10.683103,-0.002954,10.686411
420,390,0,0,0,0,0,0,0.01977,0,0,1298.945801,28.269457,-0.800076,9.986325,-0.004619,10.018325
450,390,0,0,0,0,0,0,0.019618,0,0,1343.984741,28.211817,-0.001419,8.809396,0.000988,8.809396
480,390,0,0,0,0,0,0,0.018815,0,0,1363.405762,28.267359,0.271069,6.797025,0.000131,6.802428
0,420,0,0,0,0,0,0,0.012415,0,0,2418.004883,19.352676,-0.720596,-0.763271,-0.030512,1.05013
30,420,0,0,0,0,0,0,0.015081,0,0,2492.27832,22.994389,-1.955391,0.891177,0.000018,2.148895
60,420,0,0,0,0,0,0,0.013686,0,0,2439.484863,23.797733,-4.657527,0.452893,-0.001913,4.679495
90,420,0,0,0,0,0,0,0.013131,0,0,2354.600098,24.790535,-7.468901,-0.133065,0.00315,7.470088
120,420,0,0,0,0,0,0,0.012713,0,0,2261.145752,24.955526,-8.568933,2.235891,-0.009418,8.855841
150,420,0,0,0,0,0,0,0.013341,0,0,2137.865234,24.994652,-8.107838,0.201758,0.005372,8.110349
180,420,0,0,0,0,0,0,0.014392,0,0,2036.855957,25.771029,-8.856709,4.050076,-0.005412,9.738811
210,420,0,0,0,0,0,0,0.016104,0,0,1884.009644,26.032141,-11.154668,3.696687,-0.000479,11.75126
240,420,0,0,0,0,0,0,0.017223,0,0,1732.637085,26.468578,-10.215478,5.629215,0.006157,11.663794
270,420,0,0,0,0,0,0,0.017562,0,0,1642.657715,26.863701,-9.657502,7.49991,0.003088,12.227674
300,420,0,0,0,0,0,0,0.017885,0,0,1558.003906,27.257198,-9.318393,8.704762,0.000707,12.751679
330,420,0,0,0,0,0,0,0.01865,0,0,1502.599121,27.39295,-7.403194,9.343335,-0.004336,11.920789
360,420,0,0,0,0,0.000001,0,0.018628,0,0.000001,1452.208984,26.901237,-5.968163,7.942105,-0.005053,9.934587
390,420,0,0,0,0,0.000324,0,0.019462,0,0.000324,1410.158081,27.335632,-5.871266,9.101007,-0.006259,10.83052
420,420,0,0,0,0,0,0,0.019674,0,0,1453.94751,28.132835,-1.577568,8.798102,0.012215,8.938427
450,420,0,0,0,0,0,0,0.01927,0,0,1436.843506,28.109261,-1.957551,7.538371,0.001284,7.788392
480,420,0,0,0,0,0,0,0.018852,0,0,1453.562744,28.094891,-1.059347,5.370867,0.00123,5.474343
0,450,0,0,0,0,0.000003,0,0.014619,0,0.000003,2519.535889,21.426893,1.196052,0.843292,-0.040616,1.464012
30,450,0,0,0,0,0,0,0.013888,0,0,2538.522949,23.531483,-0.843565,0.217235,-0.000852,0.871087
60,450,0,0,0,0,0,0,0.013351,0,0,2456.682617,24.321827,-4.285285,-0.156011,-0.000077,4.288125
90,450,0,0,0,0,0,0,0.012851,0,0,2381.968262,24.655193,-5.532961,-0.41057,0.002364,5.548174
120,450,0,0,0,0,0,0,0.012419,0,0,2329.690186,25.112181,-4.372613,1.972026,0.021846,4.796782
150,450,0,0,0,0,0,0,0.013177,0,0,2246.176758,25.247646,-6.855169,3.648274,0.004547,7.765517
180,450,0,0,0,0,0,0,0.013975,0,0,2117.596436,25.572668,-9.416827,2.715613,0.001762,9.800571
210,450,0,0,0,0,0,0,0.015754,0,0,2022.144897,25.98917,-9.029328,3.889941,0.000145,9.831603
240,450,0,0,0,0,0,0,0.016517,0,0,1864.866089,26.466852,-9.527818,4.863141,-0.000297,10.69717
270,450,0,0,0,0,0,0,0.017279,0,0,1764.910278,26.945332,-7.921194,6.371949,-0.000929,10.165975
300,450,0,0,0,0,0,0,0.01714,0,0,1677.546509,27.189436,-7.76071,6.497473,0.000877,10.12155
