X,Y,FG%,FGM,FGA,FGA-bin
25,31,12,1,8,10-Jan
25,8,69,18,26,21-30
25,9,33,1,3,10-Jan
25,11,100,5,5,10-Jan
25,5,100,6,6,10-Jan
25,28,0,0,1,10-Jan
25,15,100,2,2,10-Jan
25,21,50,1,2,10-Jan
25,12,100,2,2,10-Jan
25,10,66,2,3,10-Jan
25,32,50,1,2,10-Jan
25,18,50,1,2,10-Jan
25,25,100,1,1,10-Jan
25,14,50,1,2,10-Jan
25,13,0,0,1,10-Jan
25,30,0,0,1,10-Jan
25,22,0,0,1,10-Jan
32,10,60,3,5,10-Jan
32,25,50,1,2,10-Jan
32,15,50,1,2,10-Jan
32,32,0,0,1,10-Jan
32,6,0,0,1,10-Jan
32,9,0,0,1,10-Jan
32,14,0,0,1,10-Jan
32,23,100,1,1,10-Jan
32,30,0,0,2,10-Jan
32,16,0,0,1,10-Jan
32,19,100,1,1,10-Jan
32,29,0,0,1,10-Jan
32,12,100,1,1,10-Jan
32,33,0,0,1,10-Jan
8,25,40,2,5,10-Jan
8,4,0,0,1,10-Jan
8,9,0,0,2,10-Jan
8,6,100,1,1,10-Jan
8,15,0,0,3,10-Jan
8,18,66,2,3,10-Jan
8,24,100,1,1,10-Jan
8,19,100,1,1,10-Jan
8,38,0,0,1,10-Jan
8,8,100,1,1,10-Jan
8,27,50,1,2,10-Jan
8,20,0,0,1,10-Jan
19,10,0,0,1,10-Jan
19,9,33,1,3,10-Jan
19,24,50,1,2,10-Jan
19,13,50,1,2,10-Jan
19,8,0,0,1,10-Jan
19,22,0,0,1,10-Jan
19,32,100,1,1,10-Jan
19,12,66,2,3,10-Jan
19,31,0,0,1,10-Jan
19,30,0,0,1,10-Jan
41,6,0,0,2,10-Jan
41,26,66,2,3,10-Jan
41,20,50,1,2,10-Jan
41,7,40,2,5,10-Jan
41,12,0,0,1,10-Jan
41,25,25,1,4,10-Jan
41,8,0,0,1,10-Jan
41,24,100,1,1,10-Jan
41,18,100,1,1,10-Jan
41,5,0,0,1,10-Jan
41,28,100,1,1,10-Jan
41,17,0,0,1,10-Jan
41,16,50,1,2,10-Jan
36,15,100,1,1,10-Jan
36,21,50,1,2,10-Jan
36,27,100,1,1,10-Jan
36,29,33,2,6,10-Jan
36,23,0,0,1,10-Jan
36,7,0,0,1,10-Jan
36,10,50,1,2,10-Jan
36,20,0,0,2,10-Jan
36,11,100,1,1,10-Jan
36,22,0,0,1,10-Jan
36,19,0,0,1,10-Jan
36,26,0,0,2,10-Jan
36,25,0,0,1,10-Jan
36,17,100,1,1,10-Jan
36,8,100,1,1,10-Jan
33,10,50,1,2,10-Jan
33,11,0,0,2,10-Jan
33,8,50,1,2,10-Jan
33,9,50,1,2,10-Jan
33,19,0,0,1,10-Jan
33,23,50,1,2,10-Jan
33,24,0,0,2,10-Jan
33,31,0,0,1,10-Jan
33,27,0,0,2,10-Jan
33,7,0,0,1,10-Jan
33,5,100,1,1,10-Jan
33,21,0,0,1,10-Jan
33,6,100,1,1,10-Jan
33,14,100,1,1,10-Jan
33,20,50,1,2,10-Jan
30,25,33,1,3,10-Jan
30,32,50,1,2,10-Jan
30,23,100,1,1,10-Jan
30,9,100,2,2,10-Jan
30,13,100,1,1,10-Jan
30,10,0,0,1,10-Jan
30,8,100,1,1,10-Jan
30,30,0,0,3,10-Jan
30,20,0,0,1,10-Jan
30,31,0,0,1,10-Jan
30,11,0,0,1,10-Jan
30,6,100,1,1,10-Jan
30,22,0,0,1,10-Jan
30,7,0,0,1,10-Jan
30,26,0,0,1,10-Jan
30,16,0,0,1,10-Jan
20,9,66,2,3,10-Jan
20,10,33,1,3,10-Jan
20,15,0,0,1,10-Jan
20,13,100,1,1,10-Jan
20,21,0,0,1,10-Jan
20,12,50,1,2,10-Jan
20,34,0,0,1,10-Jan
20,7,100,1,1,10-Jan
20,8,100,2,2,10-Jan
40,18,0,0,1,10-Jan
40,8,0,0,2,10-Jan
40,28,50,1,2,10-Jan
40,26,80,4,5,10-Jan
40,16,0,0,1,10-Jan
40,27,0,0,2,10-Jan
40,6,66,2,3,10-Jan
40,32,0,0,1,10-Jan
40,12,0,0,1,10-Jan
40,17,100,2,2,10-Jan
40,21,100,1,1,10-Jan
40,10,33,2,6,10-Jan
40,25,75,3,4,10-Jan
40,7,100,1,1,10-Jan
40,11,33,1,3,10-Jan
40,15,100,1,1,10-Jan
40,19,100,1,1,10-Jan
40,20,100,1,1,10-Jan
40,35,0,0,2,10-Jan
40,14,100,1,1,10-Jan
14,22,0,0,2,10-Jan
14,9,0,0,1,10-Jan
14,21,0,0,1,10-Jan
14,32,0,0,1,10-Jan
14,29,75,3,4,10-Jan
14,17,0,0,1,10-Jan
14,23,0,0,1,10-Jan
14,20,50,1,2,10-Jan
14,28,100,1,1,10-Jan
14,8,0,0,1,10-Jan
12,38,0,0,1,10-Jan
12,28,50,1,2,10-Jan
12,12,100,1,1,10-Jan
12,17,0,0,1,10-Jan
12,29,25,1,4,10-Jan
12,6,0,0,1,10-Jan
12,20,100,1,1,10-Jan
12,19,33,1,3,10-Jan
12,23,0,0,1,10-Jan
12,22,0,0,1,10-Jan
12,24,0,0,1,10-Jan
12,31,100,1,1,10-Jan
12,27,0,0,3,10-Jan
35,12,100,3,3,10-Jan
35,20,100,1,1,10-Jan
35,10,33,1,3,10-Jan
35,11,0,0,1,10-Jan
35,23,0,0,2,10-Jan
35,8,0,0,3,10-Jan
35,29,0,0,1,10-Jan
35,21,100,2,2,10-Jan
35,9,100,1,1,10-Jan
35,30,100,2,2,10-Jan
35,22,0,0,1,10-Jan
35,32,0,0,2,10-Jan
35,7,0,0,2,10-Jan
35,25,0,0,1,10-Jan
35,13,0,0,1,10-Jan
35,14,0,0,1,10-Jan
35,28,0,0,1,10-Jan
35,44,0,0,1,10-Jan
35,6,0,0,1,10-Jan
9,20,50,1,2,10-Jan
9,10,50,1,2,10-Jan
9,6,0,0,1,10-Jan
9,7,0,0,1,10-Jan
9,27,0,0,2,10-Jan
9,29,100,1,1,10-Jan
9,9,0,0,2,10-Jan
9,26,0,0,2,10-Jan
9,25,33,1,3,10-Jan
9,8,100,1,1,10-Jan
9,19,100,1,1,10-Jan
9,13,0,0,1,10-Jan
9,12,0,0,1,10-Jan
9,11,0,0,1,10-Jan
9,18,100,2,2,10-Jan
17,12,0,0,1,10-Jan
17,7,100,2,2,10-Jan
17,30,0,0,1,10-Jan
17,19,0,0,2,10-Jan
17,20,0,0,1,10-Jan
17,8,50,1,2,10-Jan
17,11,0,0,1,10-Jan
17,10,0,0,1,10-Jan
44,6,100,1,1,10-Jan
44,21,40,2,5,10-Jan
44,42,0,0,2,10-Jan
44,23,100,1,1,10-Jan
44,7,100,1,1,10-Jan
44,24,50,1,2,10-Jan
44,11,0,0,1,10-Jan
44,8,100,1,1,10-Jan
44,22,100,1,1,10-Jan
44,26,0,0,1,10-Jan
44,15,100,1,1,10-Jan
28,8,75,3,4,10-Jan
28,10,100,1,1,10-Jan
28,11,66,2,3,10-Jan
28,7,57,4,7,10-Jan
28,22,0,0,1,10-Jan
28,30,100,1,1,10-Jan
28,23,0,0,1,10-Jan
28,6,60,3,5,10-Jan
28,9,100,2,2,10-Jan
28,13,100,1,1,10-Jan
34,21,66,2,3,10-Jan
34,23,20,1,5,10-Jan
34,27,100,2,2,10-Jan
34,7,100,2,2,10-Jan
34,8,0,0,1,10-Jan
34,9,50,1,2,10-Jan
34,29,100,1,1,10-Jan
34,20,50,1,2,10-Jan
34,24,50,1,2,10-Jan
34,19,0,0,1,10-Jan
34,10,100,2,2,10-Jan
34,32,0,0,1,10-Jan
34,12,100,1,1,10-Jan
34,25,0,0,2,10-Jan
34,6,100,1,1,10-Jan
34,26,0,0,1,10-Jan
6,23,16,1,6,10-Jan
6,8,0,0,1,10-Jan
6,24,16,1,6,10-Jan
6,14,33,1,3,10-Jan
6,7,50,1,2,10-Jan
6,9,0,0,1,10-Jan
6,22,100,1,1,10-Jan
6,26,0,0,1,10-Jan
6,17,0,0,1,10-Jan
6,11,0,0,1,10-Jan
39,29,33,1,3,10-Jan
39,17,0,0,1,10-Jan
39,8,25,1,4,10-Jan
39,22,100,1,1,10-Jan
39,16,50,1,2,10-Jan
39,21,0,0,1,10-Jan
39,9,0,0,4,10-Jan
39,26,0,0,1,10-Jan
39,18,25,1,4,10-Jan
39,7,100,1,1,10-Jan
39,27,33,1,3,10-Jan
39,20,0,0,1,10-Jan
39,13,100,1,1,10-Jan
39,14,33,1,3,10-Jan
39,10,0,0,1,10-Jan
39,6,0,0,1,10-Jan
39,28,100,2,2,10-Jan
39,25,100,1,1,10-Jan
39,23,0,0,1,10-Jan
39,12,0,0,1,10-Jan
1,8,75,3,4,10-Jan
1,7,0,0,1,10-Jan
1,6,100,2,2,10-Jan
1,10,66,2,3,10-Jan
1,12,100,1,1,10-Jan
1,13,100,1,1,10-Jan
1,9,0,0,1,10-Jan
1,4,0,0,1,10-Jan
37,30,0,0,1,10-Jan
37,27,100,2,2,10-Jan
37,22,50,2,4,10-Jan
37,15,50,1,2,10-Jan
37,8,100,2,2,10-Jan
37,23,0,0,1,10-Jan
37,7,50,1,2,10-Jan
37,29,50,1,2,10-Jan
37,28,66,2,3,10-Jan
37,21,0,0,3,10-Jan
37,14,66,2,3,10-Jan
37,19,100,1,1,10-Jan
37,24,0,0,2,10-Jan
37,17,0,0,1,10-Jan
37,25,0,0,1,10-Jan
37,16,0,0,2,10-Jan
37,9,100,1,1,10-Jan
37,32,0,0,1,10-Jan
11,26,0,0,2,10-Jan
11,8,100,1,1,10-Jan
11,28,50,2,4,10-Jan
11,29,33,1,3,10-Jan
11,15,0,0,1,10-Jan
11,20,0,0,1,10-Jan
11,23,0,0,1,10-Jan
11,27,25,1,4,10-Jan
11,17,0,0,2,10-Jan
11,19,100,1,1,10-Jan
11,12,0,0,1,10-Jan
11,9,0,0,1,10-Jan
11,18,0,0,2,10-Jan
11,21,0,0,2,10-Jan
11,13,0,0,1,10-Jan
11,16,0,0,1,10-Jan
27,12,0,0,2,10-Jan
27,30,0,0,1,10-Jan
27,13,0,0,2,10-Jan
27,6,68,11,16,20-Nov
27,7,85,12,14,20-Nov
27,8,75,6,8,10-Jan
27,32,0,0,1,10-Jan
27,33,50,1,2,10-Jan
27,9,40,2,5,10-Jan
27,10,0,0,1,10-Jan
27,31,0,0,2,10-Jan
27,25,0,0,1,10-Jan
27,5,100,1,1,10-Jan
27,19,100,1,1,10-Jan
27,24,0,0,1,10-Jan
38,21,50,1,2,10-Jan
38,12,100,1,1,10-Jan
38,22,33,1,3,10-Jan
38,10,50,1,2,10-Jan
38,28,100,1,1,10-Jan
38,7,0,0,2,10-Jan
38,30,0,0,3,10-Jan
38,17,50,1,2,10-Jan
38,29,100,1,1,10-Jan
38,19,33,1,3,10-Jan
38,15,50,1,2,10-Jan
38,8,100,1,1,10-Jan
38,33,0,0,1,10-Jan
38,27,14,1,7,10-Jan
38,13,0,0,1,10-Jan
38,6,100,1,1,10-Jan
38,16,100,1,1,10-Jan
38,9,100,1,1,10-Jan
38,26,0,0,1,10-Jan
15,25,100,1,1,10-Jan
15,31,0,0,1,10-Jan
15,24,33,1,3,10-Jan
15,12,50,1,2,10-Jan
15,20,0,0,1,10-Jan
15,30,33,1,3,10-Jan
15,21,0,0,1,10-Jan
15,22,0,0,2,10-Jan
15,9,0,0,1,10-Jan
15,17,0,0,1,10-Jan
15,19,100,1,1,10-Jan
15,29,0,0,1,10-Jan
21,28,0,0,2,10-Jan
21,9,100,2,2,10-Jan
21,31,33,1,3,10-Jan
21,8,100,2,2,10-Jan
21,7,100,1,1,10-Jan
21,11,100,2,2,10-Jan
21,29,0,0,1,10-Jan
45,21,75,3,4,10-Jan
45,22,50,1,2,10-Jan
45,19,0,0,2,10-Jan
45,20,20,1,5,10-Jan
45,26,100,1,1,10-Jan
45,27,100,1,1,10-Jan
45,6,0,0,2,10-Jan
45,14,66,2,3,10-Jan
45,8,0,0,1,10-Jan
45,18,0,0,1,10-Jan
45,11,100,1,1,10-Jan
45,25,0,0,1,10-Jan
45,12,0,0,1,10-Jan
47,18,0,0,3,10-Jan
47,3,100,1,1,10-Jan
47,19,50,1,2,10-Jan
47,6,0,0,1,10-Jan
47,7,0,0,1,10-Jan
47,4,100,1,1,10-Jan
47,16,100,1,1,10-Jan
47,17,100,1,1,10-Jan
31,30,60,3,5,10-Jan
31,16,0,0,2,10-Jan
31,28,100,1,1,10-Jan
31,17,100,1,1,10-Jan
31,8,66,2,3,10-Jan
31,11,60,3,5,10-Jan
31,7,0,0,1,10-Jan
31,24,0,0,1,10-Jan
31,12,100,3,3,10-Jan
31,10,25,1,4,10-Jan
31,23,100,1,1,10-Jan
31,9,60,3,5,10-Jan
31,32,100,1,1,10-Jan
18,25,50,1,2,10-Jan
18,8,0,0,1,10-Jan
18,30,50,1,2,10-Jan
18,31,50,1,2,10-Jan
18,17,100,3,3,10-Jan
18,21,0,0,1,10-Jan
18,12,100,1,1,10-Jan
18,46,0,0,1,10-Jan
18,14,100,1,1,10-Jan
18,24,0,0,1,10-Jan
13,28,50,1,2,10-Jan
13,5,0,0,1,10-Jan
13,13,50,1,2,10-Jan
13,7,0,0,1,10-Jan
13,34,0,0,1,10-Jan
13,30,50,1,2,10-Jan
13,29,0,0,1,10-Jan
13,19,100,1,1,10-Jan
13,16,0,0,1,10-Jan
13,24,33,1,3,10-Jan
13,27,100,1,1,10-Jan
13,20,0,0,1,10-Jan
13,22,100,1,1,10-Jan
13,23,0,0,1,10-Jan
42,26,50,1,2,10-Jan
42,21,100,1,1,10-Jan
42,23,0,0,3,10-Jan
42,17,100,1,1,10-Jan
42,15,0,0,2,10-Jan
42,7,33,1,3,10-Jan
42,16,66,2,3,10-Jan
42,24,22,2,9,10-Jan
42,6,100,1,1,10-Jan
42,31,0,0,1,10-Jan
42,25,100,3,3,10-Jan
42,12,0,0,1,10-Jan
42,8,100,1,1,10-Jan
42,18,100,1,1,10-Jan
42,9,0,0,2,10-Jan
42,14,100,1,1,10-Jan
42,10,100,1,1,10-Jan
43,22,50,2,4,10-Jan
43,9,50,1,2,10-Jan
43,12,100,1,1,10-Jan
43,17,0,0,1,10-Jan
43,15,100,1,1,10-Jan
43,23,0,0,2,10-Jan
43,4,100,1,1,10-Jan
43,11,100,1,1,10-Jan
43,8,100,1,1,10-Jan
43,6,0,0,1,10-Jan
43,25,0,0,1,10-Jan
43,18,50,1,2,10-Jan
43,24,0,0,2,10-Jan
29,9,50,2,4,10-Jan
29,6,100,1,1,10-Jan
29,7,25,1,4,10-Jan
29,46,0,0,1,10-Jan
29,32,0,0,2,10-Jan
29,42,0,0,3,10-Jan
29,8,0,0,1,10-Jan
29,15,0,0,1,10-Jan
29,30,0,0,1,10-Jan
29,26,0,0,1,10-Jan
29,10,100,1,1,10-Jan
3,18,0,0,2,10-Jan
3,19,25,1,4,10-Jan
16,30,0,0,5,10-Jan
16,18,50,1,2,10-Jan
16,26,0,0,1,10-Jan
16,29,100,1,1,10-Jan
16,20,33,1,3,10-Jan
16,10,100,1,1,10-Jan
16,24,50,1,2,10-Jan
16,15,100,1,1,10-Jan
46,20,100,1,1,10-Jan
46,18,100,1,1,10-Jan
46,24,0,0,1,10-Jan
46,11,100,1,1,10-Jan
46,22,100,1,1,10-Jan
46,21,0,0,1,10-Jan
46,19,0,0,2,10-Jan
46,17,0,0,1,10-Jan
10,27,28,2,7,10-Jan
10,13,100,1,1,10-Jan
10,16,25,1,4,10-Jan
10,26,0,0,1,10-Jan
10,28,0,0,1,10-Jan
10,10,0,0,1,10-Jan
10,23,100,1,1,10-Jan
10,12,0,0,1,10-Jan
10,15,100,1,1,10-Jan
10,33,0,0,1,10-Jan
7,25,0,0,2,10-Jan
7,9,50,1,2,10-Jan
7,24,50,1,2,10-Jan
7,6,100,2,2,10-Jan
7,17,0,0,1,10-Jan
7,13,100,1,1,10-Jan
7,12,100,1,1,10-Jan
7,10,0,0,1,10-Jan
7,23,100,1,1,10-Jan
4,19,100,2,2,10-Jan
4,20,100,1,1,10-Jan
4,21,66,2,3,10-Jan
4,22,100,1,1,10-Jan
4,8,0,0,1,10-Jan
4,13,0,0,2,10-Jan
4,10,0,0,1,10-Jan
5,22,25,1,4,10-Jan
5,21,50,2,4,10-Jan
5,5,100,1,1,10-Jan
5,23,50,1,2,10-Jan
5,12,100,1,1,10-Jan
5,24,0,0,1,10-Jan
5,15,0,0,1,10-Jan
0,7,0,0,1,10-Jan
